,anio,Mes,dia,viajes
265,2019,9,24,25458
266,2019,9,25,25220
267,2019,9,26,30427
268,2019,9,27,29372
269,2019,9,28,12873
270,2019,9,29,7625
271,2019,9,30,26849
272,2019,10,1,27834
273,2019,10,2,29982
274,2019,10,3,29812
275,2019,10,4,28080
276,2019,10,5,13105
277,2019,10,6,11064
278,2019,10,7,30685
279,2019,10,8,30183
280,2019,10,9,28376
281,2019,10,10,30838
282,2019,10,11,26928
283,2019,10,12,13024
284,2019,10,13,11336
285,2019,10,14,29797
286,2019,10,15,32128
287,2019,10,16,28766
288,2019,10,17,18558
289,2019,10,18,28075
290,2019,10,19,13663
291,2019,10,20,11150
292,2019,10,21,27789
293,2019,10,22,29845
294,2019,10,23,30257
295,2019,10,24,25213
296,2019,10,25,25864
297,2019,10,26,10895
298,2019,10,27,8498
299,2019,10,28,26757
300,2019,10,29,30422
301,2019,10,30,24805
302,2019,10,31,27342
303,2019,11,1,23124
304,2019,11,2,9374
305,2019,11,3,9674
306,2019,11,4,28843
307,2019,11,5,26697
308,2019,11,6,30551
309,2019,11,7,30310
310,2019,11,8,29223
311,2019,11,9,16797
312,2019,11,10,11146
313,2019,11,11,28337
314,2019,11,12,30547
315,2019,11,13,29826
316,2019,11,14,29439
317,2019,11,15,27687
318,2019,11,16,11867
319,2019,11,17,8872
320,2019,11,18,9853
321,2019,11,19,28783
322,2019,11,20,30616
323,2019,11,21,29940
324,2019,11,22,28545
325,2019,11,23,11301
326,2019,11,24,10844
327,2019,11,25,29208
328,2019,11,26,30494
329,2019,11,27,30835
330,2019,11,28,29847
331,2019,11,29,28686
332,2019,11,30,12853
333,2019,12,1,11018
334,2019,12,2,28270
335,2019,12,3,30119
336,2019,12,4,29770
337,2019,12,5,29557
338,2019,12,6,27652
339,2019,12,7,12326
340,2019,12,8,9732
341,2019,12,9,28326
342,2019,12,10,30452
343,2019,12,11,28850
344,2019,12,12,24567
345,2019,12,13,26353
346,2019,12,14,12283
347,2019,12,15,9857
348,2019,12,16,26808
349,2019,12,17,27369
350,2019,12,18,24778
351,2019,12,19,24604
352,2019,12,20,23033
353,2019,12,21,10572
354,2019,12,22,6844
355,2019,12,23,17377
356,2019,12,24,10540
357,2019,12,25,3474
358,2019,12,26,14898
359,2019,12,27,15190
360,2019,12,28,7845
361,2019,12,29,7249
362,2019,12,30,14652
363,2019,12,31,9781
