,anio,Mes,dia,viajes
0,2020,1.0,1,3872
1,2020,1.0,2,16376
2,2020,1.0,3,17757
3,2020,1.0,4,9420
4,2020,1.0,5,8812
5,2020,1.0,6,22343
6,2020,1.0,7,25155
7,2020,1.0,8,26381
8,2020,1.0,9,27320
9,2020,1.0,10,27183
10,2020,1.0,11,11839
11,2020,1.0,12,10683
12,2020,1.0,13,28526
13,2020,1.0,14,30641
14,2020,1.0,15,30114
15,2020,1.0,16,25638
16,2020,1.0,17,28200
17,2020,1.0,18,12228
18,2020,1.0,19,7969
19,2020,1.0,20,25023
20,2020,1.0,21,28153
21,2020,1.0,22,28722
22,2020,1.0,23,28812
23,2020,1.0,24,27945
24,2020,1.0,25,12587
25,2020,1.0,26,10682
26,2020,1.0,27,28761
27,2020,1.0,28,29951
28,2020,1.0,29,29694
29,2020,1.0,30,28933
30,2020,1.0,31,27210
31,2020,2.0,1,11555
32,2020,2.0,2,8852
33,2020,2.0,3,9172
34,2020,2.0,4,28892
35,2020,2.0,5,29838
36,2020,2.0,6,30292
37,2020,2.0,7,29260
38,2020,2.0,8,13353
39,2020,2.0,9,11567
40,2020,2.0,10,29289
41,2020,2.0,11,30702
42,2020,2.0,12,31087
43,2020,2.0,13,30313
44,2020,2.0,14,25571
45,2020,2.0,15,12424
46,2020,2.0,16,10980
47,2020,2.0,17,28940
48,2020,2.0,18,31232
49,2020,2.0,19,31244
50,2020,2.0,20,31146
51,2020,2.0,21,29661
52,2020,2.0,22,14674
53,2020,2.0,23,11329
54,2020,2.0,24,29573
55,2020,2.0,25,31388
56,2020,2.0,26,31189
57,2020,2.0,27,30114
58,2020,2.0,28,29757
59,2020,2.0,29,12929
60,2020,3.0,1,11222
61,2020,3.0,2,29472
62,2020,3.0,3,31711
63,2020,3.0,4,31479
64,2020,3.0,5,31289
65,2020,3.0,6,29034
66,2020,3.0,7,12800
67,2020,3.0,8,11911
68,2020,3.0,9,22999
69,2020,3.0,10,31144
70,2020,3.0,11,31609
71,2020,3.0,12,30985
72,2020,3.0,13,28082
73,2020,3.0,14,11216
74,2020,3.0,15,8491
75,2020,3.0,16,8360
76,2020,3.0,17,22169
77,2020,3.0,18,19509
78,2020,3.0,19,16830
79,2020,3.0,20,16231
80,2020,3.0,21,6527
81,2020,3.0,22,5815
82,2020,3.0,23,11798
83,2020,3.0,24,11407
84,2020,3.0,25,10655
85,2020,3.0,26,9655
86,2020,3.0,27,9570
87,2020,3.0,28,5947
88,2020,3.0,29,4151
89,2020,3.0,30,8108
90,2020,3.0,31,7806
91,2020,4.0,1,7145
92,2020,4.0,2,6360
93,2020,4.0,3,6326
94,2020,4.0,4,4267
95,2020,4.0,5,3543
96,2020,4.0,6,5661
97,2020,4.0,7,5831
98,2020,4.0,8,5473
99,2020,4.0,9,3785
100,2020,4.0,10,3876
101,2020,4.0,11,3702
102,2020,4.0,12,3293
103,2020,4.0,13,5712
104,2020,4.0,14,5680
105,2020,4.0,15,5987
106,2020,4.0,16,5519
107,2020,4.0,17,5604
108,2020,4.0,18,3833
109,2020,4.0,19,3531
110,2020,4.0,20,5441
111,2020,4.0,21,4985
112,2020,4.0,22,5276
113,2020,4.0,23,5136
114,2020,4.0,24,5011
115,2020,4.0,25,3836
116,2020,4.0,26,3603
117,2020,4.0,27,5441
118,2020,4.0,28,5348
119,2020,4.0,29,5158
120,2020,4.0,30,4765
121,2020,5.0,1,3711
122,2020,5.0,2,4205
123,2020,5.0,3,3505
124,2020,5.0,4,5359
125,2020,5.0,5,4611
126,2020,5.0,6,4563
127,2020,5.0,7,4594
128,2020,5.0,8,5064
129,2020,5.0,9,3668
130,2020,5.0,10,3151
