,anio,Mes,dia,viajes
0,2021,1.0,1,2783
1,2021,1.0,2,4611
2,2021,1.0,3,4502
3,2021,1.0,4,7274
4,2021,1.0,5,7964
5,2021,1.0,6,7401
6,2021,1.0,7,7728
7,2021,1.0,8,7978
8,2021,1.0,9,6371
9,2021,1.0,10,5351
10,2021,1.0,11,8192
11,2021,1.0,12,8807
12,2021,1.0,13,8904
13,2021,1.0,14,9171
14,2021,1.0,15,9583
15,2021,1.0,16,6693
16,2021,1.0,17,5214
17,2021,1.0,18,9892
18,2021,1.0,19,10084
19,2021,1.0,20,10209
20,2021,1.0,21,10406
21,2021,1.0,22,10726
22,2021,1.0,23,8379
23,2021,1.0,24,6848
24,2021,1.0,25,10268
25,2021,1.0,26,11043
26,2021,1.0,27,10896
27,2021,1.0,28,10965
28,2021,1.0,29,11583
29,2021,1.0,30,8949
30,2021,1.0,31,7154
31,2021,2.0,1,7523
32,2021,2.0,2,10889
33,2021,2.0,3,11338
34,2021,2.0,4,11186
35,2021,2.0,5,11686
36,2021,2.0,6,9128
37,2021,2.0,7,7190
38,2021,2.0,8,10542
39,2021,2.0,9,11424
40,2021,2.0,10,10243
41,2021,2.0,11,10093
42,2021,2.0,12,11433
43,2021,2.0,13,9050
44,2021,2.0,14,7373
45,2021,2.0,15,10458
46,2021,2.0,16,11868
47,2021,2.0,17,11892
48,2021,2.0,18,11850
49,2021,2.0,19,11735
50,2021,2.0,20,9022
51,2021,2.0,21,7491
52,2021,2.0,22,11058
53,2021,2.0,23,12046
54,2021,2.0,24,12096
55,2021,2.0,25,12369
56,2021,2.0,26,12417
57,2021,2.0,27,9057
58,2021,2.0,28,7498
59,2021,2.0,29,4
60,2021,2.0,30,6
61,2021,2.0,31,8
62,2021,3.0,1,12013
63,2021,3.0,2,12912
64,2021,3.0,3,12769
65,2021,3.0,4,12485
66,2021,3.0,5,12947
67,2021,3.0,6,8487
68,2021,3.0,7,7150
69,2021,3.0,8,11919
70,2021,3.0,9,12783
71,2021,3.0,10,11647
72,2021,3.0,11,12900
73,2021,3.0,12,12658
74,2021,3.0,13,8852
75,2021,3.0,14,7829
76,2021,3.0,15,7884
77,2021,3.0,16,12837
78,2021,3.0,17,12792
79,2021,3.0,18,11858
80,2021,3.0,19,12953
81,2021,3.0,20,9040
82,2021,3.0,21,8590
83,2021,3.0,22,12179
84,2021,3.0,23,13276
85,2021,3.0,24,13158
86,2021,3.0,25,13521
87,2021,3.0,26,13362
88,2021,3.0,27,9230
89,2021,3.0,28,8359
90,2021,3.0,29,11652
91,2021,3.0,30,12271
92,2021,3.0,31,12282
93,2021,4.0,1,9026
94,2021,4.0,2,7745
95,2021,4.0,3,7761
96,2021,4.0,4,7667
97,2021,4.0,5,11657
98,2021,4.0,6,12282
99,2021,4.0,7,13311
100,2021,4.0,8,12843
101,2021,4.0,9,12274
102,2021,4.0,10,9551
103,2021,4.0,11,8859
104,2021,4.0,12,12231
105,2021,4.0,13,12502
106,2021,4.0,14,13565
107,2021,4.0,15,13610
108,2021,4.0,16,13633
109,2021,4.0,17,9846
110,2021,4.0,18,9026
111,2021,4.0,19,13010
112,2021,4.0,20,14174
113,2021,4.0,21,13724
114,2021,4.0,22,13891
115,2021,4.0,23,13924
116,2021,4.0,24,8970
117,2021,4.0,25,8685
118,2021,4.0,26,13238
119,2021,4.0,27,13132
120,2021,4.0,28,12760
121,2021,4.0,29,13629
122,2021,4.0,30,13699
123,2021,4.0,31,3
124,2021,5.0,1,9485
125,2021,5.0,2,8763
126,2021,5.0,3,13701
127,2021,5.0,4,14409
128,2021,5.0,5,10668
129,2021,5.0,6,14409
130,2021,5.0,7,14602
131,2021,5.0,8,9798
132,2021,5.0,9,8203
133,2021,5.0,10,11636
134,2021,5.0,11,13124
135,2021,5.0,12,12439
136,2021,5.0,13,14053
137,2021,5.0,14,13533
138,2021,5.0,15,9255
139,2021,5.0,16,8274
140,2021,5.0,17,12212
141,2021,5.0,18,13046
142,2021,5.0,19,14478
143,2021,5.0,20,14380
144,2021,5.0,21,14308
145,2021,5.0,22,9803
146,2021,5.0,23,8996
147,2021,5.0,24,12310
148,2021,5.0,25,13617
149,2021,5.0,26,14587
150,2021,5.0,27,15014
151,2021,5.0,28,14349
152,2021,5.0,29,9719
153,2021,5.0,30,9183
154,2021,5.0,31,14186
155,2021,6.0,1,14812
156,2021,6.0,2,13151
157,2021,6.0,3,12495
158,2021,6.0,4,12340
159,2021,6.0,5,9751
160,2021,6.0,6,9596
161,2021,6.0,7,14537
162,2021,6.0,8,14570
163,2021,6.0,9,13379
164,2021,6.0,10,14748
165,2021,6.0,11,13763
166,2021,6.0,12,8701
167,2021,6.0,13,8009
168,2021,6.0,14,12994
169,2021,6.0,15,15522
170,2021,6.0,16,15535
171,2021,6.0,17,14809
172,2021,6.0,18,10686
173,2021,6.0,19,8980
174,2021,6.0,20,8195
175,2021,6.0,21,12985
176,2021,6.0,22,12731
177,2021,6.0,23,14665
178,2021,6.0,24,13203
179,2021,6.0,25,12712
180,2021,6.0,26,10121
181,2021,6.0,27,5515
182,2021,6.0,28,13029
183,2021,6.0,29,12497
184,2021,6.0,30,11878
185,2021,6.0,31,5
186,2021,7.0,1,13359
187,2021,7.0,2,10497
188,2021,7.0,3,8951
189,2021,7.0,4,8360
190,2021,7.0,5,11052
191,2021,7.0,6,14068
192,2021,7.0,7,14161
193,2021,7.0,8,13402
194,2021,7.0,9,14073
195,2021,7.0,10,8535
196,2021,7.0,11,8638
197,2021,7.0,12,13647
198,2021,7.0,13,11885
199,2021,7.0,14,12633
200,2021,7.0,15,12865
201,2021,7.0,16,13217
202,2021,7.0,17,9099
203,2021,7.0,18,8210
