index,anio,Mes,ganancia_total,precio_promedio,distancia_promedio,distancia_total,viajes,tiempo_total,tiempo_promedio,viaje,name_retiro,name_arribo,viajes_iniciados
0,2019,1,4200620.66,135503.89225806453,2.4020967741935486,731652.47,697343,337.43,10.88483870967742,211-217,Hegel-Horacio,Hegel-Ibarbourou,390
1,2019,2,4925570.2,175913.22142857144,2.403035714285714,708506.09,684092,310.605,11.093035714285715,18-1,Reforma - Río Rhin,Río Sena-Río Balsas,413
2,2019,3,4935083.95,159196.25645161292,2.414677419354839,774153.96,752236,345.65,11.149999999999999,108-139,Nezahualcóyotl-Isabel la Católica,Mérida-Zacatecas,1
3,2019,4,4143550.82,138118.36066666667,2.4151666666666665,720790.55,690044,338.485,11.282833333333334,18-1,Reforma - Río Rhin,Río Sena-Río Balsas,387
4,2019,5,4441693.43,143280.43322580645,2.423548387096774,790003.22,750910,336.49,10.854516129032259,18-1,Reforma - Río Rhin,Río Sena-Río Balsas,405
5,2019,6,4505530.0,150184.33333333334,2.4114999999999998,727715.43,695694,330.605,11.020166666666666,211-217,Hegel-Horacio,Hegel-Ibarbourou,334
6,2019,7,4524350.86,145946.80193548388,2.4145161290322585,737332.14,703292,339.49,10.951290322580645,211-217,Hegel-Horacio,Hegel-Ibarbourou,384
7,2019,8,4837454.81,156046.9293548387,2.4253225806451613,785916.65,748679,341.86,11.02774193548387,18-1,Reforma - Río Rhin,Río Sena-Río Balsas,416
8,2019,9,4305410.83,143513.69433333335,2.4175,710845.58,673817,329.75,10.991666666666667,211-217,Hegel-Horacio,Hegel-Ibarbourou,392
9,2019,10,4775385.01,154044.67774193548,2.4259677419354837,777619.15,741071,344.5,11.112903225806452,18-1,Reforma - Río Rhin,Río Sena-Río Balsas,400
10,2019,11,4981570.55,146516.78088235293,2.429677419354839,724406.31,694119,335.2,11.173333333333334,33-33,Londres - Florencia,Londres - Florencia,372
11,2019,12,3960168.89,110004.6913888889,2.3484848484848486,596919.57,584146,338.85,10.930645161290323,33-33,Londres - Florencia,Londres - Florencia,333
12,2020,1,4220084.38,136131.75419354838,2.410806451612903,689390.87,676930,339.0,10.935483870967742,33-33,Londres - Florencia,Londres - Florencia,446
13,2020,2,4262549.41,146984.4624137931,2.4081034482758623,700405.3200000001,686323,321.42,11.08344827586207,33-33,Londres - Florencia,Londres - Florencia,375
14,2020,3,3344556.24,107888.91096774195,2.39758064516129,539283.45,527982,344.96999999999997,11.128064516129031,33-33,Londres - Florencia,Londres - Florencia,286
15,2020,4,2000191.3,66673.04333333333,2.3921666666666668,155341.52,149128,361.81,12.060333333333334,33-33,Londres - Florencia,Londres - Florencia,197
16,2020,5,2202626.95,71052.48225806453,2.2101612903225805,326342.6,148495,387.245,12.491774193548387,139-139,Mérida-Zacatecas,Mérida-Zacatecas,209
17,2020,6,2482251.87,82741.729,2.24,393161.81,179734,387.64,12.921333333333333,33-33,Londres - Florencia,Londres - Florencia,172
18,2020,7,2759820.9,89026.48064516128,2.2230645161290323,529796.64,242812,390.785,12.605967741935485,139-139,Mérida-Zacatecas,Mérida-Zacatecas,247
19,2020,8,2920878.35,94221.88225806452,2.2414516129032256,582993.6799999999,266937,393.49,12.693225806451613,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,324
20,2020,9,2935232.67,97841.08899999999,2.2508333333333335,607056.02,279004,376.795,12.559833333333334,34-34,Liverpool - Genova,Liverpool - Genova,298
21,2020,10,3367305.03,108622.7429032258,2.2538709677419355,710052.54,325583,383.11,12.358387096774194,34-34,Liverpool - Genova,Liverpool - Genova,421
22,2020,11,2821048.69,94034.95633333334,2.2583333333333333,636370.56,292017,359.865,11.9955,34-34,Liverpool - Genova,Liverpool - Genova,391
23,2020,12,6358925.25,119979.72169811321,2.4034883720930234,258898.67,256960,388.205,12.52274193548387,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,412
24,2021,1,11420442.370000001,368401.3667741936,2.2532258064516126,549665.13,255929,427.27,13.782903225806452,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,662
25,2021,2,14919741.62,532847.9149999999,2.2639285714285715,626305.39,289973,372.325,13.297321428571427,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,694
26,2021,3,19555470.96,630821.6438709678,2.442258064516129,760955.21,352595,383.135,12.359193548387097,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,802
27,2021,4,18940201.060000002,631340.0353333334,2.4406666666666665,758397.39,350228,363.97,12.132333333333333,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,682
28,2021,5,16089149.37,519004.81838709675,2.462741935483871,813011.48,376540,373.84,12.059354838709677,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,714
