index,anio,Mes,dia,viajes
227,2019,Mar,17,9759
228,2019,Mar,18,10391
229,2019,Mar,19,30104
230,2019,Mar,20,32165
231,2019,Mar,21,31036
232,2019,Mar,22,29674
233,2019,Mar,23,13369
234,2019,Mar,24,11549
235,2019,Mar,25,30765
236,2019,Mar,26,32341
237,2019,Mar,27,32572
238,2019,Mar,28,31985
239,2019,Mar,29,30336
240,2019,Mar,30,14924
241,2019,Mar,31,11169
242,2019,May,1,12143
243,2019,May,2,29598
244,2019,May,3,28472
245,2019,May,4,12495
246,2019,May,5,11013
247,2019,May,6,30446
248,2019,May,7,32116
249,2019,May,8,31810
250,2019,May,9,30821
251,2019,May,10,23860
252,2019,May,11,12044
253,2019,May,12,10340
254,2019,May,13,29998
255,2019,May,14,30273
256,2019,May,15,26771
257,2019,May,16,23509
258,2019,May,17,24257
259,2019,May,18,12191
260,2019,May,19,10556
261,2019,May,20,29684
262,2019,May,21,29764
263,2019,May,22,31077
264,2019,May,23,30670
265,2019,May,24,28148
266,2019,May,25,12715
267,2019,May,26,11180
268,2019,May,27,30359
269,2019,May,28,32261
270,2019,May,29,31984
271,2019,May,30,31747
272,2019,May,31,28608
273,2019,Nov,1,23124
274,2019,Nov,2,9374
275,2019,Nov,3,9674
276,2019,Nov,4,28843
277,2019,Nov,5,26697
278,2019,Nov,6,30551
279,2019,Nov,7,30310
280,2019,Nov,8,29223
281,2019,Nov,9,16797
282,2019,Nov,10,11146
283,2019,Nov,11,28337
284,2019,Nov,12,30547
285,2019,Nov,13,29826
286,2019,Nov,14,29439
287,2019,Nov,15,27687
288,2019,Nov,16,11867
289,2019,Nov,17,8872
290,2019,Nov,18,9853
291,2019,Nov,19,28783
292,2019,Nov,20,30616
293,2019,Nov,21,29940
294,2019,Nov,22,28545
295,2019,Nov,23,11301
296,2019,Nov,24,10844
297,2019,Nov,25,29208
298,2019,Nov,26,30494
299,2019,Nov,27,30835
300,2019,Nov,28,29847
301,2019,Nov,29,28686
302,2019,Nov,30,12853
303,2019,Oct,1,27834
304,2019,Oct,2,29982
305,2019,Oct,3,29812
306,2019,Oct,4,28080
307,2019,Oct,5,13105
308,2019,Oct,6,11064
309,2019,Oct,7,30685
310,2019,Oct,8,30183
311,2019,Oct,9,28376
312,2019,Oct,10,30838
313,2019,Oct,11,26928
314,2019,Oct,12,13024
315,2019,Oct,13,11336
316,2019,Oct,14,29797
317,2019,Oct,15,32128
318,2019,Oct,16,28766
319,2019,Oct,17,18558
320,2019,Oct,18,28075
321,2019,Oct,19,13663
322,2019,Oct,20,11150
323,2019,Oct,21,27789
324,2019,Oct,22,29845
325,2019,Oct,23,30257
326,2019,Oct,24,25213
327,2019,Oct,25,25864
328,2019,Oct,26,10895
329,2019,Oct,27,8498
330,2019,Oct,28,26757
331,2019,Oct,29,30422
332,2019,Oct,30,24805
333,2019,Oct,31,27342
334,2019,Sep,1,11768
335,2019,Sep,2,30889
336,2019,Sep,3,31681
337,2019,Sep,4,31051
338,2019,Sep,5,30491
339,2019,Sep,6,29305
340,2019,Sep,7,12016
341,2019,Sep,8,11261
342,2019,Sep,9,29891
343,2019,Sep,10,26977
344,2019,Sep,11,29368
345,2019,Sep,12,30046
346,2019,Sep,13,26247
347,2019,Sep,14,10499
348,2019,Sep,15,8607
349,2019,Sep,16,6566
350,2019,Sep,17,26705
351,2019,Sep,18,26248
352,2019,Sep,19,25352
353,2019,Sep,20,25834
354,2019,Sep,21,13724
355,2019,Sep,22,11330
356,2019,Sep,23,30137
357,2019,Sep,24,25458
358,2019,Sep,25,25220
359,2019,Sep,26,30427
360,2019,Sep,27,29372
361,2019,Sep,28,12873
362,2019,Sep,29,7625
363,2019,Sep,30,26849
364,2020,Apr,1,7145
365,2020,Apr,2,6360
366,2020,Apr,3,6326
367,2020,Apr,4,4267
368,2020,Apr,5,3543
369,2020,Apr,6,5661
370,2020,Apr,7,5831
371,2020,Apr,8,5473
372,2020,Apr,9,3785
373,2020,Apr,10,3876
374,2020,Apr,11,3702
375,2020,Apr,12,3293
376,2020,Apr,13,5712
377,2020,Apr,14,5680
378,2020,Apr,15,5987
379,2020,Apr,16,5519
380,2020,Apr,17,5604
381,2020,Apr,18,3833
382,2020,Apr,19,3531
383,2020,Apr,20,5441
384,2020,Apr,21,4985
385,2020,Apr,22,5276
386,2020,Apr,23,5136
387,2020,Apr,24,5011
388,2020,Apr,25,3836
389,2020,Apr,26,3603
390,2020,Apr,27,5441
391,2020,Apr,28,5348
392,2020,Apr,29,5158
393,2020,Apr,30,4765
394,2020,Aug,1,7129
395,2020,Aug,2,5539
396,2020,Aug,3,9247
397,2020,Aug,4,9222
398,2020,Aug,5,10420
399,2020,Aug,6,10069
400,2020,Aug,7,10363
401,2020,Aug,8,7100
402,2020,Aug,9,5438
403,2020,Aug,10,8701
404,2020,Aug,11,9737
405,2020,Aug,12,10051
406,2020,Aug,13,10204
407,2020,Aug,14,9128
408,2020,Aug,15,7159
409,2020,Aug,16,6114
410,2020,Aug,17,8541
411,2020,Aug,18,9586
412,2020,Aug,19,10111
413,2020,Aug,20,8977
414,2020,Aug,21,10804
415,2020,Aug,22,8156
416,2020,Aug,23,6226
417,2020,Aug,24,8033
418,2020,Aug,25,9844
419,2020,Aug,26,10025
420,2020,Aug,27,9341
421,2020,Aug,28,9358
422,2020,Aug,29,7163
423,2020,Aug,30,6429
424,2020,Aug,31,8722
425,2020,Dec,1,11461
426,2020,Dec,2,11531
427,2020,Dec,3,11358
428,2020,Dec,4,10833
429,2020,Dec,5,7870
430,2020,Dec,6,6352
431,2020,Dec,7,9875
432,2020,Dec,8,10852
433,2020,Dec,9,11021
434,2020,Dec,10,11156
