index,anio,Mes,Dia,time_delta
1068,2021,12,4,12.33
1069,2021,12,5,14.63
1070,2021,12,6,11.65
1071,2021,12,7,11.7
1072,2021,12,8,12.0
1073,2021,12,9,11.9
1074,2021,12,10,12.17
1075,2021,12,11,12.42
1076,2021,12,12,14.23
1077,2021,12,13,11.65
1078,2021,12,14,11.82
1079,2021,12,15,11.7
1080,2021,12,16,11.82
1081,2021,12,17,12.075
1082,2021,12,18,12.45
1083,2021,12,19,14.45
1084,2021,12,20,11.53
1085,2021,12,21,11.85
1086,2021,12,22,11.43
1087,2021,12,23,11.71
1088,2021,12,24,10.8
1089,2021,12,25,14.25
1090,2021,12,26,14.8
1091,2021,12,27,11.6
1092,2021,12,28,11.62
1093,2021,12,29,11.87
1094,2021,12,30,11.83
1095,2021,12,31,12.13
