,anio,Mes,Dia,location_dist
0,2017,4,3,
1,2017,7,7,
2,2017,9,19,
3,2017,10,2,
4,2017,11,30,
5,2018,1,22,
6,2018,5,8,4.87
7,2018,5,11,2.58
8,2018,6,5,
9,2018,7,19,2.58
10,2018,8,6,
11,2018,8,23,
12,2018,10,3,
13,2018,10,27,
14,2018,11,1,
15,2018,12,5,
16,2018,12,18,
17,2018,12,28,
18,2018,12,29,5.02
19,2018,12,30,
20,2018,12,31,2.29
21,2019,1,1,2.23
22,2019,1,2,2.39
23,2019,1,3,2.325
24,2019,1,4,2.37
25,2019,1,5,2.37
26,2019,1,6,2.29
27,2019,1,7,2.42
28,2019,1,8,2.44
29,2019,1,9,2.45
30,2019,1,10,2.44
31,2019,1,11,2.44
32,2019,1,12,2.39
33,2019,1,13,2.38
34,2019,1,14,2.44
35,2019,1,15,2.45
36,2019,1,16,2.44
37,2019,1,17,2.44
38,2019,1,18,2.44
39,2019,1,19,2.43
40,2019,1,20,2.33
41,2019,1,21,2.43
42,2019,1,22,2.39
43,2019,1,23,2.44
44,2019,1,24,2.43
45,2019,1,25,2.44
46,2019,1,26,2.39
47,2019,1,27,2.39
48,2019,1,28,2.39
49,2019,1,29,2.39
50,2019,1,30,2.44
51,2019,1,31,2.43
52,2019,2,1,2.38
53,2019,2,2,2.39
54,2019,2,3,2.39
55,2019,2,4,2.37
56,2019,2,5,2.43
57,2019,2,6,2.43
58,2019,2,7,2.44
59,2019,2,8,2.39
60,2019,2,9,2.37
61,2019,2,10,2.29
62,2019,2,11,2.45
63,2019,2,12,2.44
64,2019,2,13,2.39
65,2019,2,14,2.43
66,2019,2,15,2.44
67,2019,2,16,2.39
68,2019,2,17,2.29
69,2019,2,18,2.44
70,2019,2,19,2.44
71,2019,2,20,2.44
72,2019,2,21,2.39
73,2019,2,22,2.39
74,2019,2,23,2.37
75,2019,2,24,2.37
76,2019,2,25,2.41
77,2019,2,26,2.435
78,2019,2,27,2.45
79,2019,2,28,2.44
80,2019,3,1,2.39
81,2019,3,2,2.43
82,2019,3,3,2.39
83,2019,3,4,2.39
84,2019,3,5,2.39
85,2019,3,6,2.44
86,2019,3,7,2.44
87,2019,3,8,2.43
88,2019,3,9,2.44
89,2019,3,10,2.43
90,2019,3,11,2.45
91,2019,3,12,2.45
92,2019,3,13,2.44
93,2019,3,14,2.44
94,2019,3,15,2.39
95,2019,3,16,2.39
96,2019,3,17,2.33
97,2019,3,18,2.39
98,2019,3,19,2.44
99,2019,3,20,2.43
100,2019,3,21,2.44
101,2019,3,22,2.42
102,2019,3,23,2.37
103,2019,3,24,2.39
104,2019,3,25,2.44
105,2019,3,26,2.43
106,2019,3,27,2.45
107,2019,3,28,2.44
108,2019,3,29,2.43
