,anio,Mes,Dia,location_dist
0,2018,10,6,
1,2019,11,1,2.71
2,2019,11,14,
3,2019,11,16,
4,2019,11,26,
5,2019,12,7,
6,2019,12,27,
7,2019,12,29,
8,2019,12,30,2.23
9,2019,12,31,1.685
10,2020,1,1,2.37
11,2020,1,2,2.37
12,2020,1,3,2.36
13,2020,1,4,2.39
14,2020,1,5,2.36
15,2020,1,6,2.38
16,2020,1,7,2.39
17,2020,1,8,2.39
18,2020,1,9,2.45
19,2020,1,10,2.44
20,2020,1,11,2.39
21,2020,1,12,2.37
22,2020,1,13,2.45
23,2020,1,14,2.44
24,2020,1,15,2.44
25,2020,1,16,2.44
26,2020,1,17,2.45
27,2020,1,18,2.37
28,2020,1,19,2.36
29,2020,1,20,2.45
30,2020,1,21,2.45
31,2020,1,22,2.39
32,2020,1,23,2.44
33,2020,1,24,2.45
34,2020,1,25,2.39
35,2020,1,26,2.39
36,2020,1,27,2.44
37,2020,1,28,2.45
38,2020,1,29,2.44
39,2020,1,30,2.4450000000000003
40,2020,1,31,2.39
41,2020,2,1,2.39
42,2020,2,2,2.37
43,2020,2,3,2.39
44,2020,2,4,2.45
45,2020,2,5,2.44
46,2020,2,6,2.45
47,2020,2,7,2.45
48,2020,2,8,2.37
49,2020,2,9,2.29
50,2020,2,10,2.45
51,2020,2,11,2.44
52,2020,2,12,2.45
53,2020,2,13,2.44
54,2020,2,14,2.39
55,2020,2,15,2.36
56,2020,2,16,2.38
57,2020,2,17,2.39
58,2020,2,18,2.45
59,2020,2,19,2.45
60,2020,2,20,2.425
61,2020,2,21,2.39
62,2020,2,22,2.29
63,2020,2,23,2.38
64,2020,2,24,2.45
65,2020,2,25,2.44
66,2020,2,26,2.43
67,2020,2,27,2.43
68,2020,2,28,2.43
69,2020,2,29,2.37
70,2020,3,1,2.32
71,2020,3,2,2.44
72,2020,3,3,2.39
73,2020,3,4,2.44
74,2020,3,5,2.43
75,2020,3,6,2.44
76,2020,3,7,2.39
77,2020,3,8,2.29
78,2020,3,9,2.42
79,2020,3,10,2.39
80,2020,3,11,2.39
81,2020,3,12,2.39
82,2020,3,13,2.39
83,2020,3,14,2.39
84,2020,3,15,2.39
85,2020,3,16,2.39
86,2020,3,17,2.45
87,2020,3,18,2.43
88,2020,3,19,2.44
89,2020,3,20,2.37
90,2020,3,21,2.39
91,2020,3,22,2.33
92,2020,3,23,2.435
93,2020,3,24,2.43
94,2020,3,25,2.39
95,2020,3,26,2.42
96,2020,3,27,2.39
97,2020,3,28,2.39
98,2020,3,29,2.39
99,2020,3,30,2.39
100,2020,3,31,2.39
101,2020,4,1,2.39
102,2020,4,2,2.49
103,2020,4,3,2.41
104,2020,4,4,2.39
105,2020,4,5,2.32
106,2020,4,6,2.37
107,2020,4,7,2.37
108,2020,4,8,2.25
109,2020,4,9,2.37
110,2020,4,10,2.37
111,2020,4,11,2.2699999999999996
112,2020,4,12,2.375
113,2020,4,13,2.36
114,2020,4,14,2.39
115,2020,4,15,2.425
116,2020,4,16,2.39
117,2020,4,17,2.39
118,2020,4,18,2.39
119,2020,4,19,2.39
120,2020,4,20,2.39
121,2020,4,21,2.58
122,2020,4,22,2.47
123,2020,4,23,2.39
124,2020,4,24,2.36
125,2020,4,25,2.36
126,2020,4,26,2.435
127,2020,4,27,2.42
128,2020,4,28,2.44
129,2020,4,29,2.43
130,2020,4,30,2.38
131,2020,5,1,2.185
132,2020,5,2,2.17
133,2020,5,3,2.24
134,2020,5,4,2.16
135,2020,5,5,2.16
136,2020,5,6,2.17
137,2020,5,7,2.22
138,2020,5,8,2.2350000000000003
139,2020,5,9,2.18
140,2020,5,10,2.2
141,2020,5,11,2.2
142,2020,5,12,2.19
143,2020,5,13,2.2
144,2020,5,14,2.16
145,2020,5,15,2.25
146,2020,5,16,2.24
147,2020,5,17,2.205
148,2020,5,18,2.21
149,2020,5,19,2.24
150,2020,5,20,2.19
151,2020,5,21,2.21
152,2020,5,22,2.26
153,2020,5,23,2.21
154,2020,5,24,2.25
155,2020,5,25,2.23
156,2020,5,26,2.21
157,2020,5,27,2.26
158,2020,5,28,2.25
159,2020,5,29,2.2
160,2020,5,30,2.16
161,2020,5,31,2.27
162,2020,6,1,2.19
163,2020,6,2,2.23
164,2020,6,3,2.22
165,2020,6,4,2.2
166,2020,6,5,2.24
167,2020,6,6,2.26
168,2020,6,7,2.22
169,2020,6,8,2.22
170,2020,6,9,2.21
171,2020,6,10,2.28
172,2020,6,11,2.22
173,2020,6,12,2.28
174,2020,6,13,2.26
175,2020,6,14,2.3
176,2020,6,15,2.28
177,2020,6,16,2.28
178,2020,6,17,2.24
