,Dia,Mes,anio,precio_viaje
0,1,1,2021,202771.5
1,1,2,2021,420753.64
2,1,3,2021,510810.92
3,1,4,2021,498370.36
4,1,5,2021,702076.34
5,1,6,2021,333244.41000000003
6,1,7,2021,660646.46
7,1,8,2021,583012.19
8,1,9,2021,560954.13
9,1,10,2021,339299.58999999997
10,1,11,2021,700204.22
11,1,12,2021,127533.7
12,2,1,2021,497016.39
13,2,2,2021,223710.63
14,2,3,2021,511135.28
15,2,4,2021,444043.44
16,2,5,2021,440584.05
17,2,6,2021,657712.88
18,2,7,2021,577644.53
19,2,8,2021,838845.69
20,2,9,2021,411881.07
21,2,10,2021,351616.75
22,2,11,2021,202679.61
23,2,12,2020,337612.0
24,2,12,2021,196158.38
25,3,1,2021,215313.44
26,3,2,2021,541362.24
27,3,3,2021,949843.86
28,3,4,2021,528054.51
29,3,5,2021,495207.28
30,3,6,2021,718593.61
31,3,7,2021,544188.89
32,3,8,2021,814571.09
33,3,9,2021,655803.6799999999
34,3,10,2021,596520.31
35,3,11,2021,315268.37
36,3,12,2020,97152.0
37,3,12,2021,158743.8
38,4,1,2021,196440.02000000002
39,4,2,2021,479043.4
40,4,3,2021,508479.58
41,4,4,2021,435112.2
42,4,5,2021,566033.27
43,4,6,2021,604897.79
44,4,7,2021,654482.96
45,4,8,2021,603928.9
46,4,9,2021,320728.53
47,4,10,2021,516092.28
48,4,11,2021,230301.35
49,4,12,2020,107712.0
50,4,12,2021,119062.20999999999
51,5,1,2021,442576.77
52,5,2,2021,734655.47
53,5,3,2021,785358.04
54,5,4,2021,824104.37
55,5,5,2021,410883.82
56,5,6,2021,299960.95999999996
57,5,7,2021,602445.78
58,5,8,2021,823328.37
59,5,9,2021,569049.5
60,5,10,2021,341175.81
61,5,11,2021,144443.25
62,5,12,2020,91960.0
63,5,12,2021,109632.62
64,6,1,2021,415677.35
65,6,2,2021,381714.19
66,6,3,2021,832241.84
67,6,4,2021,725896.31
68,6,5,2021,544972.31
69,6,6,2021,536637.89
70,6,7,2021,665546.2
71,6,8,2021,496510.1
72,6,9,2021,701870.98
73,6,10,2021,221321.1
74,6,11,2021,150977.41999999998
75,6,12,2021,104563.48
76,7,1,2021,467055.23
77,7,2,2021,498237.63
78,7,3,2021,604540.79
79,7,4,2021,1167160.12
80,7,5,2021,945387.44
81,7,6,2021,754001.5700000001
82,7,7,2021,1350245.31
83,7,8,2021,1030446.62
84,7,9,2021,695166.08
85,7,10,2021,419850.97
86,7,11,2021,223314.5
87,7,12,2020,190036.0
88,7,12,2021,145822.94
89,8,1,2021,346759.55
90,8,2,2021,647840.69
91,8,3,2021,606276.66
92,8,4,2021,464875.77
93,8,5,2021,439367.49
94,8,6,2021,478385.4
95,8,7,2021,631445.76
96,8,8,2021,614896.05
97,8,9,2021,947189.0
98,8,10,2021,563570.61
99,8,11,2021,344583.35
100,8,12,2021,177386.71
101,9,1,2021,278514.65
102,9,2,2021,694906.94
103,9,3,2021,823856.79
104,9,4,2021,764089.36
105,9,5,2021,447447.31
106,9,6,2021,904743.8200000001
107,9,7,2021,616795.0700000001
108,9,8,2021,653178.74
109,9,9,2021,1056530.43
110,9,10,2021,557654.87
111,9,11,2021,264768.28
112,9,12,2021,116005.95
113,10,1,2021,420325.31
114,10,2,2021,522410.81
115,10,3,2021,972297.71
116,10,4,2021,613988.2
117,10,5,2021,582676.25
118,10,6,2021,590996.38
119,10,7,2021,192540.78
120,10,8,2021,406604.17
121,10,9,2021,851607.53
122,10,10,2021,455327.2
123,10,11,2021,240334.82
124,10,12,2020,213488.0
125,10,12,2021,125465.49
126,11,1,2021,248156.41999999998
127,11,2,2021,682130.84
128,11,3,2021,977094.36
129,11,4,2021,276890.29
130,11,5,2021,601993.58
131,11,6,2021,630683.42
132,11,7,2021,565193.0
133,11,8,2021,699320.4299999999
134,11,9,2021,685575.86
135,11,10,2021,524350.54
136,11,11,2021,140615.6
137,11,12,2020,108768.0
138,11,12,2021,92853.45
139,12,1,2021,469609.19
140,12,2,2021,881584.81
141,12,3,2021,694820.11
142,12,4,2021,528659.63
143,12,5,2021,491538.11
144,12,6,2021,668547.2
145,12,7,2021,703840.25
146,12,8,2021,567923.24
147,12,9,2021,306809.94
148,12,10,2021,575964.65
149,12,11,2021,171166.77
150,12,12,2020,107008.0
151,12,12,2021,107549.43
152,13,1,2021,557433.63
153,13,2,2021,820027.09
154,13,3,2021,379130.44
155,13,4,2021,1019655.05
156,13,5,2021,837718.42
157,13,6,2021,426753.13
158,13,7,2021,588191.19
159,13,8,2021,666423.6799999999
160,13,9,2021,437962.07
161,13,10,2021,573794.42
162,13,11,2021,189315.87
163,13,12,2020,295768.0
164,13,12,2021,102759.6
165,14,1,2021,608400.27
166,14,2,2021,381022.16000000003
167,14,3,2021,284999.38
168,14,4,2021,887437.0700000001
169,14,5,2021,659635.25
170,14,6,2021,226835.22
171,14,7,2021,387508.25
172,14,8,2021,401056.8
173,14,9,2021,684702.0700000001
174,14,10,2021,427303.15
175,14,11,2021,206139.91
176,14,12,2020,280368.0
