,Dia,Mes,anio,precio_viaje
225,19,5,2020,88373.8
226,19,6,2020,87275.8
227,19,7,2020,70790.57
228,19,8,2020,96710.07
229,19,9,2020,89139.6
230,19,10,2020,96974.81
231,19,11,2020,92838.65
232,19,12,2020,82068.6
233,20,1,2020,148086.39
234,20,2,2020,181769.61
235,20,3,2020,92315.69
236,20,4,2020,54346.69
237,20,5,2020,72972.94
238,20,6,2020,77827.92
239,20,7,2020,88847.06
240,20,8,2020,83831.19
241,20,9,2020,69190.78
242,20,10,2020,102372.91
243,20,11,2020,94553.69
244,20,12,2020,66828.28
245,21,1,2020,177203.8
246,21,2,2020,192167.65
247,21,3,2020,49448.53
248,21,4,2020,48127.34
249,21,5,2020,87287.83
250,21,6,2020,82711.9
251,21,7,2020,81719.9
252,21,8,2020,114502.45
253,21,9,2020,84301.39
254,21,10,2020,97973.11
255,21,11,2020,82466.3
256,21,12,2020,100417.2
257,22,1,2020,162625.82
258,22,2,2020,122469.76
259,22,3,2020,52586.83
260,22,4,2020,91057.27
261,22,5,2020,56898.91
262,22,6,2020,61518.29
263,22,7,2020,103558.79
264,22,8,2020,85298.48
265,22,9,2020,95450.36
266,22,10,2020,105497.12
267,22,11,2020,90707.6
268,22,12,2020,95343.73
269,23,1,2020,164151.01
270,23,2,2020,88644.34
271,23,3,2020,69122.48
272,23,4,2020,56472.89
273,23,5,2020,53378.0
274,23,6,2020,60463.17
275,23,7,2020,81734.87
276,23,8,2020,69514.35
277,23,9,2020,93044.98
278,23,10,2020,96492.94
279,23,11,2020,85386.48
280,23,12,2020,98526.73
281,24,1,2020,163080.72
282,24,2,2020,155497.81
283,24,3,2020,70867.69
284,24,4,2020,59303.4
285,24,5,2020,54536.78
286,24,6,2020,74719.86
287,24,7,2020,86164.65
288,24,8,2020,79605.46
289,24,9,2020,97150.99
290,24,10,2020,89991.31
291,24,11,2020,94804.03
292,24,12,2020,79573.39
293,25,1,2020,84845.18
294,25,2,2020,176634.91
295,25,3,2020,66818.59
296,25,4,2020,42714.39
297,25,5,2020,77755.41
298,25,6,2020,71932.98
299,25,7,2020,74589.23
300,25,8,2020,86471.92
301,25,9,2020,103795.24
302,25,10,2020,82862.2
303,25,11,2020,93454.95
304,25,12,2020,47157.36
305,26,1,2020,85504.62
306,26,2,2020,176737.21
307,26,3,2020,65761.93
308,26,4,2020,38871.91
309,26,5,2020,56503.38
310,26,6,2020,74575.13
311,26,7,2020,49375.35
312,26,8,2020,83803.3
313,26,9,2020,104071.78
314,26,10,2020,93792.18
315,26,11,2019,56452.0
316,26,11,2020,90184.0
317,26,12,2020,73779.77
318,27,1,2020,160204.91
319,27,2,2020,189966.09
320,27,3,2020,70528.24
321,27,4,2020,61973.47
322,27,5,2020,69057.78
323,27,6,2020,66492.5
324,27,7,2020,110935.8
325,27,8,2020,98483.47
326,27,9,2020,71802.94
327,27,10,2020,103370.62
328,27,11,2020,96873.06999999999
329,27,12,2019,5808.0
330,27,12,2020,58540.58
331,28,1,2020,164988.19
332,28,2,2020,172807.55
333,28,3,2020,48201.729999999996
334,28,4,2020,54918.73
335,28,5,2020,54434.68
336,28,6,2020,49184.78
337,28,7,2020,79109.77
338,28,8,2020,82746.81
339,28,9,2020,93631.48
340,28,10,2020,97225.22
341,28,11,2020,75720.37
342,28,12,2020,64219.39
343,29,1,2020,163873.55
344,29,2,2020,80724.31
345,29,3,2020,37493.21
346,29,4,2020,72987.59
347,29,5,2020,54450.73
348,29,6,2020,85778.39
349,29,7,2020,76146.04
350,29,8,2020,84710.05
351,29,9,2020,157913.45
352,29,10,2020,92018.85
353,29,11,2020,101604.98999999999
354,29,12,2019,15004.0
355,29,12,2020,60802.13
356,30,1,2020,160102.6
357,30,3,2020,99918.63
358,30,4,2020,109741.87
359,30,5,2020,63307.69
360,30,6,2020,108836.38
361,30,7,2020,92968.82
362,30,8,2020,109320.23999999999
363,30,9,2020,141064.28
364,30,10,2020,125033.97
365,30,11,2020,102810.12
366,30,12,2019,25872.0
367,30,12,2020,60097.94
368,31,1,2020,177203.69
369,31,3,2020,79649.02
370,31,5,2020,55767.34
371,31,7,2020,96502.67
372,31,8,2020,119001.88
373,31,10,2020,99127.67
374,31,12,2019,25329.35
375,31,12,2020,37773.37
