,Dia,Mes,anio,precio_viaje
0,1,1,2019,26448.15
1,1,2,2019,221160.47
2,1,3,2019,440444.12
3,1,4,2019,163243.93
4,1,5,2019,128857.94
5,1,6,2019,66055.33
6,1,7,2019,158678.93
7,1,8,2019,185654.11
8,1,9,2019,101874.57
9,1,10,2019,170060.74
10,1,11,2018,123904.0
11,1,11,2019,160274.13
12,1,12,2019,83275.6
13,2,1,2019,94499.63
14,2,2,2019,67668.85
15,2,3,2019,73978.14
16,2,4,2019,186480.0
17,2,5,2019,158344.18
18,2,6,2019,82762.31
19,2,7,2019,175017.88
20,2,8,2019,185432.02
21,2,9,2019,189702.34
22,2,10,2017,575608.0
23,2,10,2019,187736.7
24,2,11,2019,68517.75
25,2,12,2019,172408.29
26,3,1,2019,101572.53
27,3,2,2019,69663.84
28,3,3,2019,125869.51999999999
29,3,4,2017,864248.0
30,3,4,2019,175493.13
31,3,5,2019,172540.05
32,3,6,2019,170870.08
33,3,7,2019,183248.75
34,3,8,2019,98543.65
35,3,9,2019,196274.37
36,3,10,2018,324852.0
37,3,10,2019,214430.22
38,3,11,2019,131982.08000000002
39,3,12,2019,178761.57
40,4,1,2019,118469.22
41,4,2,2019,53615.93
42,4,3,2019,137086.16
43,4,4,2019,205132.16999999998
44,4,5,2019,63607.06
45,4,6,2019,164004.93
46,4,7,2019,161963.91
47,4,8,2019,98250.86
48,4,9,2019,190260.4
49,4,10,2019,166923.3
50,4,11,2019,165339.3
51,4,12,2019,184788.96
52,5,1,2019,56359.56
53,5,2,2019,683132.75
54,5,3,2019,154484.89
55,5,4,2019,191639.53
56,5,5,2019,81941.14
57,5,6,2018,305360.0
58,5,6,2019,146430.13
59,5,7,2019,185902.69
60,5,8,2019,142129.04
61,5,9,2019,176634.2
62,5,10,2019,76661.43
63,5,11,2019,208866.9
64,5,12,2018,104104.0
65,5,12,2019,195539.53
66,6,1,2019,71144.77
67,6,2,2019,219447.16
68,6,3,2019,183941.05
69,6,4,2019,74432.19
70,6,5,2019,166117.63
71,6,6,2019,143523.76
72,6,7,2019,73770.52
73,6,8,2018,190036.0
74,6,8,2019,190241.97
75,6,9,2019,179729.69
76,6,10,2019,88203.48
77,6,11,2019,183499.31
78,6,12,2019,193822.43
79,7,1,2019,144009.97
80,7,2,2019,176678.95
81,7,3,2019,173628.85
