,anio,Mes,Dia,time_delta
319,2019,11,16,10.32
320,2019,11,17,12.15
321,2019,11,18,9.92
322,2019,11,19,10.9
323,2019,11,20,11.17
324,2019,11,21,11.03
325,2019,11,22,11.43
326,2019,11,23,11.37
327,2019,11,24,11.72
328,2019,11,25,11.13
329,2019,11,26,11.1
330,2019,11,27,11.13
331,2019,11,28,11.13
332,2019,11,29,11.3
333,2019,11,30,10.75
334,2019,12,1,11.33
335,2019,12,2,11.0
336,2019,12,3,11.08
337,2019,12,4,11.18
338,2019,12,5,11.13
339,2019,12,6,11.42
340,2019,12,7,10.55
341,2019,12,8,11.32
342,2019,12,9,11.08
343,2019,12,10,11.3
344,2019,12,11,11.02
345,2019,12,12,10.71
346,2019,12,13,11.37
347,2019,12,14,10.62
348,2019,12,15,11.48
349,2019,12,16,11.03
350,2019,12,17,11.12
351,2019,12,18,10.9
352,2019,12,19,10.97
353,2019,12,20,10.97
354,2019,12,21,11.05
355,2019,12,22,10.78
356,2019,12,23,10.47
357,2019,12,24,9.83
358,2019,12,25,10.53
359,2019,12,26,10.47
360,2019,12,27,10.72
361,2019,12,28,10.48
362,2019,12,29,12.24
363,2019,12,30,10.52
364,2019,12,31,10.18
