,anio,Mes,Dia,time_delta
0,2021,1,1,17.89
1,2021,1,2,15.18
2,2021,1,3,15.53
3,2021,1,4,12.23
4,2021,1,5,12.18
5,2021,1,6,12.0
6,2021,1,7,12.1
7,2021,1,8,12.03
8,2021,1,9,14.17
9,2021,1,10,14.97
10,2021,1,11,12.73
11,2021,1,12,12.73
12,2021,1,13,12.92
13,2021,1,14,12.7
14,2021,1,15,13.3
15,2021,1,16,14.27
16,2021,1,17,16.0
17,2021,1,18,12.83
18,2021,1,19,12.97
19,2021,1,20,12.75
20,2021,1,21,13.08
21,2021,1,22,13.42
22,2021,1,23,15.62
23,2021,1,24,16.35
24,2021,1,25,13.07
25,2021,1,26,13.15
26,2021,1,27,13.02
27,2021,1,28,12.78
28,2021,1,29,13.58
29,2021,1,30,15.27
30,2021,1,31,16.45
31,2021,2,1,13.74
32,2021,2,2,12.62
33,2021,2,3,12.82
34,2021,2,4,12.99
35,2021,2,5,13.43
36,2021,2,6,15.28
37,2021,2,7,15.52
38,2021,2,8,12.65
39,2021,2,9,12.61
40,2021,2,10,12.45
41,2021,2,11,12.625
42,2021,2,12,12.82
43,2021,2,13,14.8
44,2021,2,14,15.9
45,2021,2,15,12.38
46,2021,2,16,12.45
47,2021,2,17,12.5
48,2021,2,18,12.33
49,2021,2,19,12.7
50,2021,2,20,13.87
51,2021,2,21,15.02
52,2021,2,22,12.38
53,2021,2,23,12.23
54,2021,2,24,12.38
55,2021,2,25,12.23
56,2021,2,26,12.85
57,2021,2,27,14.03
58,2021,2,28,14.72
59,2021,3,1,11.87
60,2021,3,2,12.07
61,2021,3,3,11.85
62,2021,3,4,11.77
63,2021,3,5,12.23
64,2021,3,6,12.73
65,2021,3,7,14.07
66,2021,3,8,12.23
67,2021,3,9,11.675
68,2021,3,10,12.37
69,2021,3,11,11.74
70,2021,3,12,12.274999999999999
71,2021,3,13,12.9
72,2021,3,14,14.48
73,2021,3,15,12.2
74,2021,3,16,11.75
75,2021,3,17,11.774999999999999
76,2021,3,18,11.62
77,2021,3,19,12.08
78,2021,3,20,12.88
79,2021,3,21,14.42
80,2021,3,22,11.92
81,2021,3,23,11.9
82,2021,3,24,11.78
83,2021,3,25,11.82
84,2021,3,26,12.08
85,2021,3,27,12.57
86,2021,3,28,14.63
87,2021,3,29,11.8
88,2021,3,30,11.78
89,2021,3,31,11.87
90,2021,4,1,12.15
91,2021,4,2,12.55
92,2021,4,3,13.07
93,2021,4,4,14.34
94,2021,4,5,11.52
95,2021,4,6,11.08
96,2021,4,7,11.75
97,2021,4,8,11.83
98,2021,4,9,11.65
99,2021,4,10,12.44
100,2021,4,11,14.69
101,2021,4,12,11.4
102,2021,4,13,11.07
103,2021,4,14,11.4
104,2021,4,15,11.77
105,2021,4,16,11.9
106,2021,4,17,12.78
107,2021,4,18,13.9
108,2021,4,19,11.57
109,2021,4,20,11.63
110,2021,4,21,11.7
111,2021,4,22,11.45
112,2021,4,23,12.02
113,2021,4,24,12.5
114,2021,4,25,13.68
115,2021,4,26,11.18
116,2021,4,27,11.6
117,2021,4,28,11.5
118,2021,4,29,11.92
119,2021,4,30,11.93
120,2021,5,1,12.71
121,2021,5,2,13.8
122,2021,5,3,11.63
123,2021,5,4,11.57
124,2021,5,5,10.83
125,2021,5,6,11.82
126,2021,5,7,11.95
127,2021,5,8,12.6
128,2021,5,9,13.69
129,2021,5,10,11.27
130,2021,5,11,11.13
131,2021,5,12,11.22
132,2021,5,13,11.83
133,2021,5,14,11.72
134,2021,5,15,12.42
135,2021,5,16,13.53
136,2021,5,17,11.0
137,2021,5,18,11.37
138,2021,5,19,11.4
139,2021,5,20,11.7
140,2021,5,21,12.15
