,anio,Mes,Dia,time_delta
141,2021,5,22,12.53
142,2021,5,23,14.15
143,2021,5,24,11.33
144,2021,5,25,11.37
145,2021,5,26,11.55
146,2021,5,27,11.58
147,2021,5,28,11.72
148,2021,5,29,12.6
149,2021,5,30,14.25
150,2021,5,31,11.42
151,2021,6,1,11.62
152,2021,6,2,11.57
153,2021,6,3,11.75
154,2021,6,4,11.87
155,2021,6,5,13.08
156,2021,6,6,14.53
157,2021,6,7,11.77
158,2021,6,8,11.62
159,2021,6,9,11.52
160,2021,6,10,11.63
161,2021,6,11,11.78
162,2021,6,12,12.85
163,2021,6,13,15.57
164,2021,6,14,11.3
165,2021,6,15,11.52
166,2021,6,16,11.68
167,2021,6,17,11.67
168,2021,6,18,11.25
169,2021,6,19,12.67
170,2021,6,20,14.67
171,2021,6,21,11.2
172,2021,6,22,11.28
173,2021,6,23,11.4
174,2021,6,24,11.43
175,2021,6,25,11.925
176,2021,6,26,13.32
177,2021,6,27,13.77
178,2021,6,28,11.58
179,2021,6,29,11.22
180,2021,6,30,11.28
181,2021,7,1,11.42
182,2021,7,2,11.63
183,2021,7,3,12.65
184,2021,7,4,15.43
185,2021,7,5,11.13
186,2021,7,6,11.68
187,2021,7,7,11.87
188,2021,7,8,11.9
189,2021,7,9,12.23
190,2021,7,10,13.03
191,2021,7,11,15.65
192,2021,7,12,11.68
193,2021,7,13,11.5
194,2021,7,14,11.6
195,2021,7,15,11.73
196,2021,7,16,11.93
197,2021,7,17,12.95
198,2021,7,18,15.77
199,2021,7,19,11.52
200,2021,7,20,11.57
201,2021,7,21,11.52
202,2021,7,22,11.65
203,2021,7,23,11.85
204,2021,7,24,12.8
205,2021,7,25,15.7
206,2021,7,26,11.2
207,2021,7,27,11.73
208,2021,7,28,11.52
209,2021,7,29,11.68
210,2021,7,30,11.57
211,2021,7,31,12.72
212,2021,8,1,15.7
213,2021,8,2,11.77
214,2021,8,3,11.53
215,2021,8,4,11.42
216,2021,8,5,11.88
217,2021,8,6,11.88
218,2021,8,7,12.55
219,2021,8,8,16.38
220,2021,8,9,11.225000000000001
221,2021,8,10,11.7
222,2021,8,11,11.45
223,2021,8,12,11.51
224,2021,8,13,11.75
225,2021,8,14,13.13
226,2021,8,15,16.82
227,2021,8,16,11.97
228,2021,8,17,11.55
229,2021,8,18,11.68
230,2021,8,19,11.7
231,2021,8,20,11.82
232,2021,8,21,12.58
233,2021,8,22,15.73
234,2021,8,23,11.25
235,2021,8,24,11.37
236,2021,8,25,11.55
237,2021,8,26,11.57
238,2021,8,27,11.88
239,2021,8,28,12.47
240,2021,8,29,15.2
241,2021,8,30,11.08
242,2021,8,31,11.23
243,2021,9,1,11.28
244,2021,9,2,11.41
245,2021,9,3,11.65
246,2021,9,4,13.23
247,2021,9,5,15.52
248,2021,9,6,11.13
249,2021,9,7,11.15
250,2021,9,8,11.8
251,2021,9,9,11.83
252,2021,9,10,11.97
253,2021,9,11,12.93
254,2021,9,12,15.92
255,2021,9,13,11.55
256,2021,9,14,12.02
257,2021,9,15,11.78
258,2021,9,16,13.575
259,2021,9,17,12.13
260,2021,9,18,13.14
261,2021,9,19,16.38
262,2021,9,20,11.73
263,2021,9,21,11.73
264,2021,9,22,11.73
265,2021,9,23,11.75
266,2021,9,24,12.2
267,2021,9,25,12.96
268,2021,9,26,16.2
269,2021,9,27,11.74
270,2021,9,28,11.77
271,2021,9,29,11.65
272,2021,9,30,11.55
273,2021,10,1,11.85
274,2021,10,2,12.82
275,2021,10,3,15.63
276,2021,10,4,11.37
277,2021,10,5,11.2
278,2021,10,6,11.6
279,2021,10,7,11.67
280,2021,10,8,12.18
281,2021,10,9,13.45
282,2021,10,10,16.1
283,2021,10,11,11.55
284,2021,10,12,11.83
285,2021,10,13,11.83
286,2021,10,14,11.92
287,2021,10,15,12.32
288,2021,10,16,12.88
289,2021,10,17,15.58
290,2021,10,18,11.53
291,2021,10,19,11.62
292,2021,10,20,11.77
293,2021,10,21,11.72
294,2021,10,22,12.02
295,2021,10,23,12.73
296,2021,10,24,16.1
297,2021,10,25,11.85
298,2021,10,26,11.93
299,2021,10,27,11.98
300,2021,10,28,11.8
301,2021,10,29,12.23
302,2021,10,30,13.31
303,2021,10,31,17.3
304,2021,11,1,12.36
305,2021,11,2,12.47
306,2021,11,3,12.57
307,2021,11,4,11.76
308,2021,11,5,12.13
309,2021,11,6,12.68
310,2021,11,7,15.25
311,2021,11,8,11.78
312,2021,11,9,11.58
313,2021,11,10,11.88
314,2021,11,11,11.9
315,2021,11,12,12.22
316,2021,11,13,13.0
317,2021,11,14,15.82
318,2021,11,15,11.87
319,2021,11,16,11.67
320,2021,11,17,11.65
321,2021,11,18,11.73
322,2021,11,19,12.0
323,2021,11,20,12.83
324,2021,11,21,15.1
325,2021,11,22,11.58
326,2021,11,23,11.6
327,2021,11,24,11.92
328,2021,11,25,12.08
329,2021,11,26,12.18
330,2021,11,27,12.47
331,2021,11,28,14.5
332,2021,11,29,11.38
333,2021,11,30,11.62
334,2021,12,1,11.9
335,2021,12,2,11.8
336,2021,12,3,11.95
337,2021,12,4,12.33
338,2021,12,5,14.63
339,2021,12,6,11.65
340,2021,12,7,11.7
341,2021,12,8,12.0
342,2021,12,9,11.9
343,2021,12,10,12.17
344,2021,12,11,12.42
345,2021,12,12,14.23
346,2021,12,13,11.65
347,2021,12,14,11.82
348,2021,12,15,11.7
349,2021,12,16,11.82
350,2021,12,17,12.075
351,2021,12,18,12.45
352,2021,12,19,14.45
353,2021,12,20,11.53
354,2021,12,21,11.85
355,2021,12,22,11.43
356,2021,12,23,11.71
357,2021,12,24,10.8
358,2021,12,25,14.25
359,2021,12,26,14.8
360,2021,12,27,11.6
361,2021,12,28,11.62
362,2021,12,29,11.87
363,2021,12,30,11.83
364,2021,12,31,12.13
