,anio,Mes,Dia,time_delta
0,2020,1,1,10.72
1,2020,1,2,10.28
2,2020,1,3,10.65
3,2020,1,4,10.17
4,2020,1,5,11.66
5,2020,1,6,10.62
6,2020,1,7,10.57
7,2020,1,8,10.7
8,2020,1,9,10.87
9,2020,1,10,10.98
10,2020,1,11,10.38
11,2020,1,12,11.93
12,2020,1,13,10.77
13,2020,1,14,11.12
14,2020,1,15,11.05
15,2020,1,16,11.45
16,2020,1,17,11.28
17,2020,1,18,10.52
18,2020,1,19,11.5
19,2020,1,20,10.73
20,2020,1,21,11.07
21,2020,1,22,11.03
22,2020,1,23,10.93
23,2020,1,24,11.15
24,2020,1,25,10.57
25,2020,1,26,11.63
26,2020,1,27,10.78
27,2020,1,28,10.97
28,2020,1,29,11.0
29,2020,1,30,10.8
30,2020,1,31,11.12
31,2020,2,1,10.35
32,2020,2,2,11.5
33,2020,2,3,9.92
34,2020,2,4,10.78
35,2020,2,5,10.83
36,2020,2,6,11.13
37,2020,2,7,11.33
38,2020,2,8,10.58
39,2020,2,9,11.99
40,2020,2,10,10.85
41,2020,2,11,11.03
42,2020,2,12,10.98
43,2020,2,13,11.02
44,2020,2,14,11.27
45,2020,2,15,10.72
46,2020,2,16,12.38
47,2020,2,17,10.88
48,2020,2,18,10.97
49,2020,2,19,10.93
50,2020,2,20,11.11
51,2020,2,21,11.43
52,2020,2,22,12.07
53,2020,2,23,11.9
54,2020,2,24,10.82
55,2020,2,25,10.9
56,2020,2,26,10.83
57,2020,2,27,11.05
58,2020,2,28,11.35
59,2020,2,29,10.52
60,2020,3,1,11.62
61,2020,3,2,10.85
62,2020,3,3,11.02
63,2020,3,4,11.02
64,2020,3,5,11.0
65,2020,3,6,11.13
66,2020,3,7,10.41
67,2020,3,8,12.45
68,2020,3,9,10.38
69,2020,3,10,10.95
70,2020,3,11,11.25
71,2020,3,12,11.17
72,2020,3,13,11.42
73,2020,3,14,10.62
74,2020,3,15,11.68
75,2020,3,16,10.03
76,2020,3,17,11.03
77,2020,3,18,10.95
78,2020,3,19,10.75
79,2020,3,20,11.05
80,2020,3,21,10.88
81,2020,3,22,11.28
82,2020,3,23,11.1
83,2020,3,24,11.32
84,2020,3,25,11.13
85,2020,3,26,11.28
86,2020,3,27,11.2
87,2020,3,28,11.57
88,2020,3,29,11.95
89,2020,3,30,11.23
90,2020,3,31,11.25
91,2020,4,1,11.23
92,2020,4,2,11.17
93,2020,4,3,11.25
94,2020,4,4,12.49
95,2020,4,5,13.27
96,2020,4,6,11.55
97,2020,4,7,11.45
98,2020,4,8,11.52
99,2020,4,9,12.1
100,2020,4,10,12.87
101,2020,4,11,12.85
102,2020,4,12,13.87
103,2020,4,13,11.77
104,2020,4,14,11.64
105,2020,4,15,11.43
106,2020,4,16,11.77
107,2020,4,17,11.77
108,2020,4,18,12.47
109,2020,4,19,13.43
110,2020,4,20,11.88
111,2020,4,21,11.43
112,2020,4,22,11.97
113,2020,4,23,11.65
114,2020,4,24,11.43
115,2020,4,25,12.4
116,2020,4,26,13.88
117,2020,4,27,11.97
118,2020,4,28,11.95
119,2020,4,29,11.7
120,2020,4,30,11.65
121,2020,5,1,12.37
122,2020,5,2,13.48
123,2020,5,3,14.15
124,2020,5,4,11.67
125,2020,5,5,11.35
126,2020,5,6,11.425
127,2020,5,7,11.65
128,2020,5,8,11.88
129,2020,5,9,13.2
130,2020,5,10,13.92
131,2020,5,11,11.63
132,2020,5,12,11.6
133,2020,5,13,11.93
134,2020,5,14,11.92
135,2020,5,15,12.16
136,2020,5,16,13.02
