,anio,Mes,Dia,location_dist
0,2018,10,6,0.0
1,2019,11,1,2.71
2,2019,11,14,0.0
3,2019,11,16,0.0
4,2019,11,26,0.0
5,2019,12,7,0.0
6,2019,12,27,0.0
7,2019,12,29,0.0
8,2019,12,30,2.23
9,2019,12,31,36.08
10,2020,1,1,3698.68
11,2020,1,2,16647.0
12,2020,1,3,18077.11
13,2020,1,4,9434.15
14,2020,1,5,8164.82
15,2020,1,6,22004.69
16,2020,1,7,25293.81
17,2020,1,8,26636.83
18,2020,1,9,28115.17
19,2020,1,10,27844.37
20,2020,1,11,12061.8
21,2020,1,12,9885.51
22,2020,1,13,29402.64
23,2020,1,14,31353.92
24,2020,1,15,31648.5
25,2020,1,16,26162.57
26,2020,1,17,29316.62
27,2020,1,18,12093.39
28,2020,1,19,7121.46
29,2020,1,20,26016.1
30,2020,1,21,28795.94
31,2020,1,22,29216.78
32,2020,1,23,29613.54
33,2020,1,24,29578.94
34,2020,1,25,12436.53
35,2020,1,26,9951.22
36,2020,1,27,29685.37
37,2020,1,28,30913.08
38,2020,1,29,30458.47
39,2020,1,30,29895.36
40,2020,1,31,27866.5
41,2020,2,1,11822.32
42,2020,2,2,8094.72
43,2020,2,3,9033.9
44,2020,2,4,30058.9
45,2020,2,5,31184.45
46,2020,2,6,31316.42
47,2020,2,7,30811.61
48,2020,2,8,13255.98
49,2020,2,9,10905.41
50,2020,2,10,29825.98
51,2020,2,11,31240.06
52,2020,2,12,31971.79
53,2020,2,13,31290.13
54,2020,2,14,26999.77
55,2020,2,15,12200.87
56,2020,2,16,10245.19
57,2020,2,17,29552.15
58,2020,2,18,31869.55
59,2020,2,19,32133.15
60,2020,2,20,31330.83
61,2020,2,21,30838.41
62,2020,2,22,14033.04
63,2020,2,23,10744.34
64,2020,2,24,30742.66
65,2020,2,25,31646.38
66,2020,2,26,32174.13
67,2020,2,27,31189.49
68,2020,2,28,30850.44
69,2020,2,29,13043.25
70,2020,3,1,10685.12
71,2020,3,2,29932.18
72,2020,3,3,32015.22
73,2020,3,4,31808.74
74,2020,3,5,32425.97
75,2020,3,6,30442.0
76,2020,3,7,12971.69
77,2020,3,8,11209.38
78,2020,3,9,23724.09
79,2020,3,10,31555.34
80,2020,3,11,32054.42
81,2020,3,12,31819.33
82,2020,3,13,28761.58
83,2020,3,14,11276.93
84,2020,3,15,8060.59
85,2020,3,16,8366.97
86,2020,3,17,23317.18
87,2020,3,18,20318.44
88,2020,3,19,17668.02
89,2020,3,20,16838.29
90,2020,3,21,6681.83
91,2020,3,22,5549.7
92,2020,3,23,12270.43
93,2020,3,24,11818.08
94,2020,3,25,10874.03
95,2020,3,26,10129.98
96,2020,3,27,9826.08
97,2020,3,28,5996.88
98,2020,3,29,4264.48
99,2020,3,30,8474.52
100,2020,3,31,8145.96
101,2020,4,1,7277.75
102,2020,4,2,6904.94
103,2020,4,3,6690.44
104,2020,4,4,4481.42
105,2020,4,5,3688.55
106,2020,4,6,6058.77
107,2020,4,7,5968.36
108,2020,4,8,5468.82
109,2020,4,9,4089.84
110,2020,4,10,4125.74
111,2020,4,11,3783.87
112,2020,4,12,3412.31
113,2020,4,13,5883.41
114,2020,4,14,5954.08
115,2020,4,15,6234.42
116,2020,4,16,5725.86
117,2020,4,17,5663.53
118,2020,4,18,3983.75
119,2020,4,19,3563.8
120,2020,4,20,5491.12
121,2020,4,21,5448.63
122,2020,4,22,5678.54
123,2020,4,23,5297.78
124,2020,4,24,5114.97
125,2020,4,25,3847.28
126,2020,4,26,3808.54
127,2020,4,27,5523.65
128,2020,4,28,5478.5
129,2020,4,29,5625.47
130,2020,4,30,5067.38
131,2020,5,1,8199.47
132,2020,5,2,9246.7
133,2020,5,3,7565.79
134,2020,5,4,12049.54
135,2020,5,5,10077.64
136,2020,5,6,9979.63
137,2020,5,7,10144.47
138,2020,5,8,11467.98
139,2020,5,9,8115.54
140,2020,5,10,6790.29
141,2020,5,11,10484.79
142,2020,5,12,11352.75
143,2020,5,13,11544.53
144,2020,5,14,11510.03
145,2020,5,15,12588.72
146,2020,5,16,9440.22
147,2020,5,17,8033.08
148,2020,5,18,11609.03
149,2020,5,19,12289.87
150,2020,5,20,10969.91
151,2020,5,21,11453.4
152,2020,5,22,12143.05
153,2020,5,23,9760.87
154,2020,5,24,8398.54
155,2020,5,25,13050.99
156,2020,5,26,12708.44
157,2020,5,27,12622.44
158,2020,5,28,11723.64
159,2020,5,29,13599.52
160,2020,5,30,10177.27
161,2020,5,31,7244.46
162,2020,6,1,13416.29
163,2020,6,2,14131.19
164,2020,6,3,13778.13
165,2020,6,4,13619.89
166,2020,6,5,14848.68
167,2020,6,6,11095.42
168,2020,6,7,8564.6
169,2020,6,8,12047.11
170,2020,6,9,13467.72
171,2020,6,10,14374.91
172,2020,6,11,13411.57
173,2020,6,12,14928.94
174,2020,6,13,11828.02
175,2020,6,14,9921.59
176,2020,6,15,14793.68
177,2020,6,16,15265.48
178,2020,6,17,15026.74
179,2020,6,18,15435.03
180,2020,6,19,15313.98
181,2020,6,20,9685.41
182,2020,6,21,8989.79
183,2020,6,22,10948.28
184,2020,6,23,12391.76
185,2020,6,24,13950.32
186,2020,6,25,13452.12
187,2020,6,26,15756.5
188,2020,6,27,12414.21
189,2020,6,28,10216.35
190,2020,6,29,13805.25
191,2020,6,30,16282.85
192,2020,7,1,16209.18
193,2020,7,2,17845.16
194,2020,7,3,16508.15
195,2020,7,4,12276.68
196,2020,7,5,8984.91
197,2020,7,6,16226.35
198,2020,7,7,16333.29
199,2020,7,8,17175.5
200,2020,7,9,15303.73
201,2020,7,10,18519.28
202,2020,7,11,14394.97
203,2020,7,12,10529.91
204,2020,7,13,17760.82
205,2020,7,14,18468.66
206,2020,7,15,19686.94
207,2020,7,16,19648.82
208,2020,7,17,19386.7
209,2020,7,18,14423.66
210,2020,7,19,12745.16
211,2020,7,20,18918.13
212,2020,7,21,20223.25
213,2020,7,22,20428.65
214,2020,7,23,20918.39
215,2020,7,24,21025.11
216,2020,7,25,14495.84
217,2020,7,26,10598.36
218,2020,7,27,20265.59
219,2020,7,28,21566.27
220,2020,7,29,20264.82
221,2020,7,30,19771.56
222,2020,7,31,18892.8
223,2020,8,1,15581.91
224,2020,8,2,11859.74
225,2020,8,3,20425.8
226,2020,8,4,20360.92
227,2020,8,5,22888.68
228,2020,8,6,22137.95
229,2020,8,7,22379.07
230,2020,8,8,15651.28
231,2020,8,9,11758.31
232,2020,8,10,19260.23
233,2020,8,11,21310.93
234,2020,8,12,21865.1
235,2020,8,13,22486.27
236,2020,8,14,20193.49
237,2020,8,15,15582.91
238,2020,8,16,12992.73
239,2020,8,17,18649.22
240,2020,8,18,21014.08
241,2020,8,19,22098.46
242,2020,8,20,19768.96
243,2020,8,21,23295.87
244,2020,8,22,17341.94
245,2020,8,23,13569.55
246,2020,8,24,17966.28
247,2020,8,25,21725.69
248,2020,8,26,21781.46
249,2020,8,27,20459.46
250,2020,8,28,20434.81
251,2020,8,29,15368.89
252,2020,8,30,13706.13
253,2020,8,31,19077.56
254,2020,9,1,22871.82
255,2020,9,2,23460.09
256,2020,9,3,22876.22
257,2020,9,4,22942.43
258,2020,9,5,14440.16
259,2020,9,6,12663.94
260,2020,9,7,20848.78
261,2020,9,8,22055.97
262,2020,9,9,23840.17
263,2020,9,10,20323.05
264,2020,9,11,24172.17
265,2020,9,12,14835.710000000001
266,2020,9,13,13646.84
267,2020,9,14,22706.25
268,2020,9,15,20215.46
269,2020,9,16,11185.74
270,2020,9,17,23319.94
271,2020,9,18,15916.99
272,2020,9,19,15408.49
273,2020,9,20,11991.31
274,2020,9,21,21661.54
275,2020,9,22,25221.91
276,2020,9,23,25034.0
277,2020,9,24,24287.11
278,2020,9,25,24749.67
279,2020,9,26,18584.71
280,2020,9,27,14055.25
281,2020,9,28,25161.61
282,2020,9,29,22521.64
283,2020,9,30,26057.05
284,2020,10,1,25728.62
285,2020,10,2,25236.71
286,2020,10,3,18600.07
287,2020,10,4,14553.48
288,2020,10,5,24704.48
289,2020,10,6,25370.11
290,2020,10,7,25160.65
291,2020,10,8,26076.25
292,2020,10,9,23697.97
293,2020,10,10,19165.63
294,2020,10,11,15117.37
295,2020,10,12,23348.99
296,2020,10,13,23695.66
297,2020,10,14,24940.33
298,2020,10,15,27322.78
299,2020,10,16,25869.32
300,2020,10,17,19044.62
301,2020,10,18,12423.57
302,2020,10,19,24277.12
303,2020,10,20,26308.28
304,2020,10,21,25737.43
305,2020,10,22,26413.46
306,2020,10,23,26788.24
307,2020,10,24,18051.64
308,2020,10,25,15293.64
309,2020,10,26,24328.54
310,2020,10,27,26324.71
311,2020,10,28,26149.22
312,2020,10,29,26175.79
313,2020,10,30,26627.4
314,2020,10,31,17520.46
315,2020,11,1,13068.58
316,2020,11,2,16953.2
317,2020,11,3,24523.29
318,2020,11,4,24684.77
319,2020,11,5,24744.5
320,2020,11,6,25413.73
321,2020,11,7,17759.5
322,2020,11,8,14225.69
323,2020,11,9,24645.97
324,2020,11,10,26420.56
325,2020,11,11,26610.24
326,2020,11,12,26112.49
327,2020,11,13,26281.93
328,2020,11,14,17348.12
329,2020,11,15,13148.7
330,2020,11,16,14201.92
331,2020,11,17,24074.8
332,2020,11,18,23334.4
333,2020,11,19,24715.28
334,2020,11,20,23108.46
335,2020,11,21,17017.71
336,2020,11,22,13758.69
337,2020,11,23,21584.94
338,2020,11,24,24822.12
339,2020,11,25,24051.65
340,2020,11,26,24801.68
341,2020,11,27,25441.83
342,2020,11,28,17432.4
343,2020,11,29,13822.03
344,2020,11,30,22261.38
