,anio,Mes,Dia,location_dist
0,2017,4,3,0.0
1,2017,7,7,0.0
2,2017,9,19,0.0
3,2017,10,2,0.0
4,2017,11,30,0.0
5,2018,1,22,0.0
6,2018,5,8,4.87
7,2018,5,11,2.58
8,2018,6,5,0.0
9,2018,7,19,2.58
10,2018,8,6,0.0
11,2018,8,23,0.0
12,2018,10,3,0.0
13,2018,10,27,0.0
14,2018,11,1,0.0
15,2018,12,5,0.0
16,2018,12,18,0.0
17,2018,12,28,0.0
18,2018,12,29,5.02
19,2018,12,30,0.0
20,2018,12,31,28.42
21,2019,1,1,3654.09
22,2019,1,2,18006.77
23,2019,1,3,20492.1
24,2019,1,4,20833.32
25,2019,1,5,10795.25
26,2019,1,6,9181.72
27,2019,1,7,27159.32
28,2019,1,8,29429.1
29,2019,1,9,30095.42
30,2019,1,10,31691.09
31,2019,1,11,29945.97
32,2019,1,12,12770.78
33,2019,1,13,9963.07
34,2019,1,14,30604.06
35,2019,1,15,31634.06
36,2019,1,16,32032.24
37,2019,1,17,31215.49
38,2019,1,18,29824.45
39,2019,1,19,12936.54
40,2019,1,20,10503.92
41,2019,1,21,30250.32
42,2019,1,22,31795.47
43,2019,1,23,30795.49
44,2019,1,24,28824.13
45,2019,1,25,29434.39
46,2019,1,26,13136.66
47,2019,1,27,10379.46
48,2019,1,28,30411.37
49,2019,1,29,31614.67
50,2019,1,30,31073.38
51,2019,1,31,31168.37
52,2019,2,1,29385.12
53,2019,2,2,11539.3
54,2019,2,3,8893.71
55,2019,2,4,9690.04
56,2019,2,5,31190.09
57,2019,2,6,31518.02
58,2019,2,7,31708.34
59,2019,2,8,30936.72
60,2019,2,9,13301.26
61,2019,2,10,10893.51
62,2019,2,11,31160.76
63,2019,2,12,32781.24
64,2019,2,13,28068.88
65,2019,2,14,32454.64
66,2019,2,15,31455.7
67,2019,2,16,13283.79
68,2019,2,17,10555.95
69,2019,2,18,32126.3
70,2019,2,19,34038.3
71,2019,2,20,33638.29
72,2019,2,21,32573.34
73,2019,2,22,31590.22
74,2019,2,23,14334.07
75,2019,2,24,11041.85
76,2019,2,25,29366.88
77,2019,2,26,34117.71
78,2019,2,27,33554.6
79,2019,2,28,33307.46
80,2019,3,1,31063.84
81,2019,3,2,13749.65
82,2019,3,3,11111.07
83,2019,3,4,27160.26
84,2019,3,5,30190.53
85,2019,3,6,31871.62
86,2019,3,7,32918.22
87,2019,3,8,32953.91
88,2019,3,9,14150.15
89,2019,3,10,11718.54
90,2019,3,11,33252.71
91,2019,3,12,32071.38
92,2019,3,13,33695.39
93,2019,3,14,33663.45
94,2019,3,15,31210.93
95,2019,3,16,12220.17
96,2019,3,17,8868.02
97,2019,3,18,10429.43
98,2019,3,19,30583.52
99,2019,3,20,33619.05
100,2019,3,21,32240.52
101,2019,3,22,31132.19
102,2019,3,23,14130.23
103,2019,3,24,11353.84
104,2019,3,25,31801.72
105,2019,3,26,33970.85
106,2019,3,27,33468.97
107,2019,3,28,33273.31
108,2019,3,29,31267.87
109,2019,3,30,14539.21
110,2019,3,31,10473.41
111,2019,4,1,33024.66
112,2019,4,2,34781.62
113,2019,4,3,34221.26
114,2019,4,4,32866.63
115,2019,4,5,32631.24
116,2019,4,6,13871.12
117,2019,4,7,11448.73
118,2019,4,8,31767.6
119,2019,4,9,33635.35
120,2019,4,10,33846.91
121,2019,4,11,33502.2
122,2019,4,12,31641.26
123,2019,4,13,13761.71
124,2019,4,14,10650.67
125,2019,4,15,28052.42
126,2019,4,16,28446.12
127,2019,4,17,26009.53
128,2019,4,18,11247.36
129,2019,4,19,8575.4
130,2019,4,20,8734.12
131,2019,4,21,9115.69
132,2019,4,22,27929.28
133,2019,4,23,31810.14
134,2019,4,24,31548.05
135,2019,4,25,31074.04
136,2019,4,26,23390.86
137,2019,4,27,42.61
138,2019,4,28,10171.76
139,2019,4,29,30823.34
140,2019,4,30,32168.87
141,2019,5,1,12418.79
142,2019,5,2,31031.95
143,2019,5,3,30568.85
144,2019,5,4,13041.12
145,2019,5,5,10747.43
146,2019,5,6,32059.2
147,2019,5,7,34067.21
148,2019,5,8,34046.64
149,2019,5,9,32371.02
150,2019,5,10,25533.65
151,2019,5,11,12637.33
152,2019,5,12,9822.95
153,2019,5,13,31716.71
154,2019,5,14,32218.63
155,2019,5,15,28489.3
156,2019,5,16,24753.62
157,2019,5,17,25620.27
158,2019,5,18,12815.22
159,2019,5,19,10710.71
160,2019,5,20,31359.94
161,2019,5,21,31873.08
162,2019,5,22,32664.09
163,2019,5,23,32403.57
164,2019,5,24,29724.79
165,2019,5,25,13301.69
166,2019,5,26,10899.21
167,2019,5,27,32052.95
168,2019,5,28,34010.7
169,2019,5,29,33628.51
170,2019,5,30,32768.56
171,2019,5,31,30645.53
172,2019,6,1,12327.95
173,2019,6,2,10839.02
174,2019,6,3,32986.05
175,2019,6,4,31731.51
176,2019,6,5,28003.37
177,2019,6,6,25517.03
178,2019,6,7,26544.94
179,2019,6,8,14103.01
180,2019,6,9,11605.7
181,2019,6,10,31795.78
182,2019,6,11,33902.12
183,2019,6,12,34386.24
184,2019,6,13,29237.29
185,2019,6,14,30776.06
186,2019,6,15,13634.91
187,2019,6,16,10169.05
188,2019,6,17,31538.13
189,2019,6,18,30576.19
190,2019,6,19,33664.91
191,2019,6,20,30991.59
192,2019,6,21,30287.01
193,2019,6,22,13888.58
194,2019,6,23,8994.59
195,2019,6,24,23977.54
196,2019,6,25,30513.86
197,2019,6,26,31374.9
198,2019,6,27,31105.61
199,2019,6,28,29479.19
200,2019,6,29,13932.94
201,2019,6,30,9830.36
202,2019,7,1,28752.68
203,2019,7,2,28987.98
204,2019,7,3,32004.35
205,2019,7,4,29155.55
206,2019,7,5,30831.42
207,2019,7,6,11849.24
208,2019,7,7,11164.57
209,2019,7,8,24025.92
210,2019,7,9,31966.05
211,2019,7,10,28027.39
212,2019,7,11,29375.13
213,2019,7,12,26761.36
214,2019,7,13,11200.89
215,2019,7,14,9479.22
216,2019,7,15,29433.68
217,2019,7,16,30457.14
218,2019,7,17,30822.96
219,2019,7,18,25602.64
220,2019,7,19,26223.02
221,2019,7,20,12118.28
222,2019,7,21,9845.25
223,2019,7,22,29273.03
224,2019,7,23,27632.97
225,2019,7,24,30043.08
226,2019,7,25,19851.52
227,2019,7,26,21000.15
228,2019,7,27,12295.55
229,2019,7,28,9425.93
230,2019,7,29,28477.19
231,2019,7,30,31475.65
232,2019,7,31,29772.35
233,2019,8,1,31257.95
234,2019,8,2,28765.39
235,2019,8,3,12543.89
236,2019,8,4,10376.41
237,2019,8,5,25551.93
238,2019,8,6,30700.12
239,2019,8,7,28856.92
240,2019,8,8,31567.42
241,2019,8,9,28485.66
242,2019,8,10,13550.34
243,2019,8,11,9773.42
244,2019,8,12,28823.82
245,2019,8,13,31851.02
246,2019,8,14,31494.46
247,2019,8,15,31914.02
248,2019,8,16,30729.12
249,2019,8,17,13270.14
250,2019,8,18,10481.66
251,2019,8,19,30987.22
252,2019,8,20,32955.07
253,2019,8,21,32418.74
254,2019,8,22,29912.85
255,2019,8,23,29452.77
256,2019,8,24,12933.06
257,2019,8,25,11392.95
258,2019,8,26,31661.69
259,2019,8,27,32581.71
260,2019,8,28,34169.94
261,2019,8,29,32487.87
262,2019,8,30,30955.05
263,2019,8,31,14014.04
264,2019,9,1,11607.18
265,2019,9,2,32408.53
266,2019,9,3,33565.78
267,2019,9,4,32931.28
268,2019,9,5,31914.58
269,2019,9,6,31041.84
270,2019,9,7,12640.75
271,2019,9,8,11001.47
272,2019,9,9,31518.7
273,2019,9,10,29157.57
274,2019,9,11,31276.66
275,2019,9,12,32091.96
276,2019,9,13,27213.11
277,2019,9,14,10848.63
278,2019,9,15,8386.18
279,2019,9,16,6337.33
280,2019,9,17,28572.32
281,2019,9,18,28065.92
282,2019,9,19,26820.9
283,2019,9,20,27657.73
284,2019,9,21,14182.52
285,2019,9,22,11232.62
286,2019,9,23,31612.42
287,2019,9,24,27865.27
288,2019,9,25,27440.86
289,2019,9,26,32678.94
290,2019,9,27,31352.11
291,2019,9,28,13343.72
292,2019,9,29,7435.44
293,2019,9,30,28643.26
294,2019,10,1,29660.47
295,2019,10,2,31881.34
296,2019,10,3,31231.83
297,2019,10,4,29628.91
298,2019,10,5,13479.86
299,2019,10,6,10357.18
300,2019,10,7,31821.08
301,2019,10,8,31511.03
302,2019,10,9,29713.88
303,2019,10,10,33102.71
304,2019,10,11,28695.1
305,2019,10,12,13488.66
306,2019,10,13,10852.14
307,2019,10,14,31071.45
308,2019,10,15,33632.06
309,2019,10,16,30198.8
310,2019,10,17,19170.39
311,2019,10,18,29260.18
312,2019,10,19,13864.06
313,2019,10,20,10947.59
314,2019,10,21,29523.73
315,2019,10,22,31475.16
316,2019,10,23,31796.14
317,2019,10,24,26904.74
