,viaje,location_dist
0,18-1,0.6444156889264804
1,405-4,6.753333928281518
2,30-1,0.8699871816703765
3,87-1,2.9540976693749976
4,34-1,1.0863438976028248
5,479-4,2.2263550174580304
6,338-2,5.155259446537915
7,355-3,5.70444839600251
8,197-4,3.550786545153352
9,149-2,2.495455391946177
10,371-3,6.066823959346609
11,254-2,1.2191971600983265
12,125-1,1.3837693454145874
13,150-1,2.652708310996654
14,57-1,2.1984120876117057
15,182-3,0.8713447023812639
16,329-3,5.314501255267916
17,271-2,2.419596114689886
18,164-2,3.223818398116484
19,152-1,2.9031270231950703
20,274-1,1.7472296925692918
21,317-3,4.399647494194605
22,197-1,3.8228341820776235
23,318-1,4.634196294049504
24,449-4,2.329356282493976
25,324-4,4.447473764189571
26,33-2,0.9656164689138427
27,160-1,3.1186385967023114
28,301-3,4.397371715065212
29,86-1,0.9264829925161557
30,120-1,1.2472120815588852
31,160-2,2.949161280893746
32,65-2,3.3796183122506775
33,298-1,4.323602915541538
34,98-1,2.0491510609758223
35,182-1,0.6034745721295409
37,14-1,0.7815814616788369
38,22-2,1.2617579866610102
39,216-2,3.59960058044019
40,170-1,6.532600540170839
41,381-3,2.0745706906695704
42,134-1,5.182648613480492
43,334-3,2.3500260660984758
44,150-3,0.8331789918609401
45,472-2,1.3139556576020697
46,182-4,3.225641644299944
47,179-3,2.2873801054215286
48,61-3,1.929984411452911
49,207-2,2.5338260094514116
50,82-1,2.236238562623726
51,63-1,3.450989054934192
52,65-4,5.1189619233923604
53,327-3,0.30657559707673665
54,5-2,5.520197228001459
55,347-3,0.7169629393934319
56,260-2,0.5617460527585323
57,85-1,1.2724224288369725
58,448-2,0.0
59,1-1,6.676857355597984
60,392-3,1.450766619690866
61,42-1,4.695455513284289
62,309-3,3.6360137600798015
63,103-4,7.147626771526754
64,433-4,6.904110065189141
65,414-3,1.1536130555546034
66,35-2,5.842006528037569
67,359-3,0.6542481039264691
68,15-2,3.8861694896553067
69,104-2,1.6032374620064391
70,115-2,0.6549481777956692
71,18-3,1.692465911735014
72,130-1,3.166561939096434
73,75-3,6.724049881348586
74,386-3,7.357954049327501
75,428-4,3.927281788205493
78,291-3,4.571905489225029
79,351-3,2.370732578435491
80,436-4,1.9134831159038013
81,306-3,4.194207728722725
82,209-2,1.4714361394359912
83,258-2,3.8973256892288166
85,306-2,2.2213253346417936
86,127-1,4.680259334646687
87,293-3,5.701880387787258
88,6-2,2.6671502108487286
89,274-2,4.447244404784953
90,307-3,2.448551859426291
91,354-3,2.759061706498752
93,266-4,3.9007957135228186
94,286-3,5.4081145824544565
95,143-1,4.176168182732829
96,183-1,1.6692014876549979
97,151-1,1.7192016965552674
98,196-1,2.5372439870440786
100,332-3,1.009178513619677
101,297-3,6.321254018574846
102,478-2,3.367188696532971
103,223-2,3.442339150211475
104,145-1,2.007222919643052
105,52-1,6.563492730105103
106,193-4,0.7508274477191421
107,364-3,4.565097570981274
108,163-1,6.234143079812878
110,452-2,0.7355345158874593
111,479-1,1.8345510383295358
113,420-4,3.7127116416392196
114,14-2,7.592491926332807
118,305-3,4.192615009003431
119,398-4,2.942402676894366
120,139-1,1.1060030640707395
121,27-1,5.729231328934387
122,135-1,3.3905767057299743
123,138-1,1.6902047971796834
124,97-1,2.9883205447807146
125,434-1,6.05958445513884
126,289-1,4.778412535446333
127,136-1,3.431496441511522
128,173-1,2.1491499780603354
129,305-2,7.220268538980513
130,80-1,1.5834042415674459
131,225-2,6.533888175370205
132,357-3,7.083880150233572
133,174-2,0.8689993138868447
134,111-1,2.5287234304925637
135,172-4,5.337693434808744
136,373-3,4.157186494115549
137,321-3,4.044488550102602
139,167-1,2.878852071178174
140,142-4,6.261076215796748
141,420-3,0.5268469267836277
142,194-2,3.355534844503985
144,396-3,2.056998119229575
145,409-4,2.537295473804455
146,159-1,0.30656812351722496
147,221-2,4.716518886555756
148,328-3,5.26994438099017
150,301-2,1.676861918693823
151,461-1,1.8825112870728595
152,133-1,1.9472374299306905
153,194-3,1.1768826005443564
154,366-3,1.4418378791675046
156,11-1,7.535567240836041
158,162-1,7.20621912126082
159,185-1,6.002023241448681
160,194-1,2.2318522069459936
161,70-3,1.0325004329303922
162,6-1,2.563943008126468
163,314-3,1.5640655273125843
164,337-3,0.7123401244601201
168,277-3,1.9448546909563222
169,139-3,5.1435907317385645
171,29-1,3.804754149695047
172,54-1,0.944533024062911
173,39-2,3.81975466931899
174,204-2,4.326182315007593
175,340-1,3.4631192896610394
176,430-4,3.160296396393462
177,95-1,2.926564081481511
178,424-3,6.090106294441301
179,372-3,2.3900184874495585
180,48-1,3.3565606770869043
181,8-1,1.2699330153926711
183,146-1,2.7984791295203855
185,47-1,7.389931070574575
186,4-1,6.307409566692254
187,22-1,2.5123530711459523
188,174-1,5.787738900191137
190,35-1,1.972425189313018
191,132-1,7.199858926354527
192,326-3,2.908824680701647
194,1-2,2.5542680452513578
195,172-3,1.724879978001468
197,246-2,4.181487388163285
198,300-4,7.620936312847847
199,295-2,2.406682888790083
200,197-2,1.7981927650839653
201,52-2,2.2101426005651805
203,154-1,7.201114215682977
204,363-3,3.3801768710127926
208,142-1,6.903248563913328
209,241-4,2.479823236698431
210,114-2,3.2283070621401664
211,255-1,0.9455614319162254
212,76-3,6.0618883127359755
214,377-4,2.4454408950799325
215,426-3,1.1482042257195249
217,400-4,1.3311707703444806
218,151-2,2.663707619698719
219,349-3,2.9514264900654013
223,244-1,6.531661437498257
225,270-1,2.476608051216886
226,420-1,3.5318165820291445
228,227-2,1.5762781824368874
229,31-3,0.9439897331493923
231,191-1,5.255371036888012
232,51-1,2.2125422655845886
233,316-3,3.3333234093956086
234,294-2,7.440097491528361
235,436-3,1.7117038436814682
236,41-4,3.868211331898897
237,38-3,1.8018830170848026
238,71-2,0.9862503535152911
239,33-4,1.2569768048464594
241,408-4,7.555695198912854
242,87-4,6.102173527570804
243,158-1,3.895145797512188
245,330-2,0.7389027266847518
246,28-3,5.596733249990695
247,435-4,1.248496487903663
248,71-1,2.091804326812807
249,235-4,2.317329984139592
250,451-2,4.008607964015836
253,368-3,3.2697109488241614
256,340-2,3.0946632091202444
258,270-2,3.0156172982733827
259,472-4,2.847635427977839
262,46-1,3.7470852766279896
264,473-4,4.081739650740564
266,232-2,1.747469235725012
267,214-2,3.1102432506882627
269,147-1,7.374725133920973
272,165-2,6.388794134799971
273,120-2,3.7525049054819295
275,380-3,4.046308106955865
276,187-1,4.472297952171261
277,70-1,2.042179898184947
278,276-2,5.140222205088076
279,37-1,0.7772549152188606
280,124-1,8.091451265925679
281,470-4,1.0280625411311899
283,149-1,2.946457122508847
286,336-3,5.872304460814505
289,67-2,2.13115282309906
291,164-1,1.7683266206035804
292,440-4,6.751066159916231
294,14-3,3.70264911534008
295,294-4,2.02423975526501
297,46-3,1.8616816117317976
298,27-2,7.5320661955909225
300,119-1,3.7195810550324535
301,369-3,4.8730821686984
303,427-3,5.84837056943708
305,385-4,2.0445979604747277
306,299-4,3.84568572072006
308,93-1,1.8642693145200777
309,21-2,6.813498858712537
