,Mes,Dia,location_dist
101,4,11,3783.87
102,4,12,3412.31
103,4,13,5883.41
104,4,14,5954.08
105,4,15,6234.42
106,4,16,5725.86
107,4,17,5663.53
108,4,18,3983.75
109,4,19,3563.8
110,4,20,5491.12
111,4,21,5448.63
112,4,22,5678.54
113,4,23,5297.78
114,4,24,5114.97
115,4,25,3847.28
116,4,26,3808.54
117,4,27,5523.65
118,4,28,5478.5
119,4,29,5625.47
120,4,30,5067.38
121,5,1,8199.47
122,5,2,9246.7
123,5,3,7565.79
124,5,4,12049.54
125,5,5,10077.64
126,5,6,9979.63
127,5,7,10144.47
128,5,8,11467.98
129,5,9,8115.54
130,5,10,6790.29
131,5,11,10484.79
132,5,12,11352.75
133,5,13,11544.53
134,5,14,11510.03
135,5,15,12588.72
136,5,16,9440.22
137,5,17,8033.08
138,5,18,11609.03
139,5,19,12289.87
140,5,20,10969.91
141,5,21,11453.4
142,5,22,12143.05
143,5,23,9760.87
144,5,24,8398.54
145,5,25,13050.99
146,5,26,12708.44
147,5,27,12622.44
148,5,28,11723.64
149,5,29,13599.52
150,5,30,10177.27
151,5,31,7244.46
152,6,1,13416.29
153,6,2,14131.19
154,6,3,13778.13
155,6,4,13619.89
156,6,5,14848.68
157,6,6,11095.42
158,6,7,8564.6
159,6,8,12047.11
160,6,9,13467.72
161,6,10,14374.91
162,6,11,13411.57
163,6,12,14928.94
164,6,13,11828.02
165,6,14,9921.59
166,6,15,14793.68
167,6,16,15265.48
168,6,17,15026.74
169,6,18,15435.03
170,6,19,15313.98
171,6,20,9685.41
172,6,21,8989.79
173,6,22,10948.28
174,6,23,12391.76
175,6,24,13950.32
176,6,25,13452.12
177,6,26,15756.5
178,6,27,12414.21
179,6,28,10216.35
180,6,29,13805.25
181,6,30,16282.85
182,7,1,16209.18
183,7,2,17845.16
184,7,3,16508.15
185,7,4,12276.68
186,7,5,8984.91
187,7,6,16226.35
188,7,7,16333.29
189,7,8,17175.5
190,7,9,15303.73
191,7,10,18519.28
192,7,11,14394.97
193,7,12,10529.91
194,7,13,17760.82
195,7,14,18468.66
196,7,15,19686.94
197,7,16,19648.82
198,7,17,19386.7
199,7,18,14423.66
200,7,19,12745.16
201,7,20,18918.13
202,7,21,20223.25
203,7,22,20428.65
204,7,23,20918.39
205,7,24,21025.11
206,7,25,14495.84
207,7,26,10598.36
208,7,27,20265.59
209,7,28,21566.27
210,7,29,20264.82
211,7,30,19771.56
212,7,31,18892.8
213,8,1,15581.91
214,8,2,11859.74
215,8,3,20425.8
216,8,4,20360.92
217,8,5,22888.68
218,8,6,22137.95
219,8,7,22379.07
220,8,8,15651.28
221,8,9,11758.31
222,8,10,19260.23
223,8,11,21310.93
224,8,12,21865.1
225,8,13,22486.27
226,8,14,20193.49
227,8,15,15582.91
228,8,16,12992.73
229,8,17,18649.22
230,8,18,21014.08
231,8,19,22098.46
232,8,20,19768.96
233,8,21,23295.87
234,8,22,17341.94
235,8,23,13569.55
236,8,24,17966.28
237,8,25,21725.69
238,8,26,21781.46
239,8,27,20459.46
240,8,28,20434.81
241,8,29,15368.89
242,8,30,13706.13
243,8,31,19077.56
244,9,1,22871.82
245,9,2,23460.09
246,9,3,22876.22
247,9,4,22942.43
248,9,5,14440.16
249,9,6,12663.94
250,9,7,20848.78
251,9,8,22055.97
252,9,9,23840.17
253,9,10,20323.05
254,9,11,24172.17
255,9,12,14835.710000000001
256,9,13,13646.84
257,9,14,22706.25
258,9,15,20215.46
259,9,16,11185.74
260,9,17,23319.94
261,9,18,15916.99
262,9,19,15408.49
263,9,20,11991.31
264,9,21,21661.54
265,9,22,25221.91
266,9,23,25034.0
267,9,24,24287.11
268,9,25,24749.67
269,9,26,18584.71
270,9,27,14055.25
271,9,28,25161.61
272,9,29,22521.64
273,9,30,26057.05
274,10,1,25728.62
275,10,2,25236.71
276,10,3,18600.07
277,10,4,14553.48
278,10,5,24704.48
279,10,6,25370.11
280,10,7,25160.65
281,10,8,26076.25
282,10,9,23697.97
283,10,10,19165.63
284,10,11,15117.37
285,10,12,23348.99
286,10,13,23695.66
287,10,14,24940.33
288,10,15,27322.78
289,10,16,25869.32
290,10,17,19044.62
291,10,18,12423.57
292,10,19,24277.12
293,10,20,26308.28
294,10,21,25737.43
295,10,22,26413.46
296,10,23,26788.24
297,10,24,18051.64
298,10,25,15293.64
299,10,26,24328.54
300,10,27,26324.71
301,10,28,26149.22
302,10,29,26175.79
303,10,30,26627.4
304,10,31,17520.46
305,11,1,13071.29
306,11,2,16953.2
307,11,3,24523.29
308,11,4,24684.77
309,11,5,24744.5
310,11,6,25413.73
311,11,7,17759.5
312,11,8,14225.69
313,11,9,24645.97
314,11,10,26420.56
315,11,11,26610.24
316,11,12,26112.49
317,11,13,26281.93
318,11,14,17348.12
319,11,15,13148.7
320,11,16,14201.92
321,11,17,24074.8
322,11,18,23334.4
323,11,19,24715.28
324,11,20,23108.46
325,11,21,17017.71
326,11,22,13758.69
327,11,23,21584.94
328,11,24,24822.12
329,11,25,24051.65
330,11,26,24801.68
331,11,27,25441.83
332,11,28,17432.4
333,11,29,13822.03
334,11,30,22261.38
335,12,1,12124.96
336,12,2,11670.82
337,12,3,11673.13
338,12,4,10818.63
339,12,5,7920.83
340,12,6,6241.48
341,12,7,10073.9
342,12,8,10718.0
343,12,9,11105.17
344,12,10,11210.03
345,12,11,10666.84
346,12,12,8363.84
347,12,13,6239.43
348,12,14,10205.43
349,12,15,11130.1
350,12,16,11247.5
351,12,17,10748.81
352,12,18,10863.54
353,12,19,6051.68
354,12,20,4466.75
355,12,21,7746.58
356,12,22,7986.26
357,12,23,8130.25
358,12,24,5363.52
359,12,25,2447.07
360,12,26,4316.6
361,12,27,3889.9
362,12,28,6677.94
363,12,29,6687.67
364,12,30,6868.04
365,12,31,5137.86
