,Mes,Dia,location_dist
0,1,1,3698.68
1,1,2,16647.0
2,1,3,18077.11
3,1,4,9434.15
4,1,5,8164.82
5,1,6,22004.69
6,1,7,25293.81
7,1,8,26636.83
8,1,9,28115.17
9,1,10,27844.37
10,1,11,12061.8
11,1,12,9885.51
12,1,13,29402.64
13,1,14,31353.92
14,1,15,31648.5
15,1,16,26162.57
16,1,17,29316.62
17,1,18,12093.39
18,1,19,7121.46
19,1,20,26016.1
20,1,21,28795.94
21,1,22,29216.78
22,1,23,29613.54
23,1,24,29578.94
24,1,25,12436.53
25,1,26,9951.22
26,1,27,29685.37
27,1,28,30913.08
28,1,29,30458.47
29,1,30,29895.36
30,1,31,27866.5
31,2,1,11822.32
32,2,2,8094.72
33,2,3,9033.9
34,2,4,30058.9
35,2,5,31184.45
36,2,6,31316.42
37,2,7,30811.61
38,2,8,13255.98
39,2,9,10905.41
40,2,10,29825.98
41,2,11,31240.06
42,2,12,31971.79
43,2,13,31290.13
44,2,14,26999.77
45,2,15,12200.87
46,2,16,10245.19
47,2,17,29552.15
48,2,18,31869.55
49,2,19,32133.15
50,2,20,31330.83
51,2,21,30838.41
52,2,22,14033.04
53,2,23,10744.34
54,2,24,30742.66
55,2,25,31646.38
56,2,26,32174.13
57,2,27,31189.49
58,2,28,30850.44
59,2,29,13043.25
60,3,1,10685.12
61,3,2,29932.18
62,3,3,32015.22
63,3,4,31808.74
64,3,5,32425.97
65,3,6,30442.0
66,3,7,12971.69
67,3,8,11209.38
68,3,9,23724.09
69,3,10,31555.34
70,3,11,32054.42
71,3,12,31819.33
72,3,13,28761.58
73,3,14,11276.93
74,3,15,8060.59
75,3,16,8366.97
76,3,17,23317.18
77,3,18,20318.44
78,3,19,17668.02
79,3,20,16838.29
80,3,21,6681.83
81,3,22,5549.7
82,3,23,12270.43
83,3,24,11818.08
84,3,25,10874.03
85,3,26,10129.98
86,3,27,9826.08
87,3,28,5996.88
88,3,29,4264.48
89,3,30,8474.52
90,3,31,8145.96
91,4,1,7277.75
92,4,2,6904.94
93,4,3,6690.44
94,4,4,4481.42
95,4,5,3688.55
96,4,6,6058.77
97,4,7,5968.36
98,4,8,5468.82
99,4,9,4089.84
100,4,10,4125.74
