,Mes,Dia,location_dist
0,1,1,6102.61
1,1,2,9858.33
2,1,3,9406.95
3,1,4,15852.5
4,1,5,17273.38
5,1,6,15865.35
6,1,7,16816.15
7,1,8,17550.92
8,1,9,13527.74
9,1,10,11450.92
10,1,11,17353.51
11,1,12,18837.7
12,1,13,19015.72
13,1,14,19549.96
14,1,15,20664.02
15,1,16,14097.03
16,1,17,11279.24
17,1,18,21641.09
18,1,19,21813.36
19,1,20,21673.83
20,1,21,22188.22
21,1,22,22782.95
22,1,23,17716.66
23,1,24,14616.85
24,1,25,21756.94
25,1,26,23375.48
26,1,27,23234.92
27,1,28,23723.36
28,1,29,25064.12
29,1,30,19008.79
30,1,31,15172.43
31,2,1,16002.44
32,2,2,23504.75
33,2,3,24436.83
34,2,4,24264.78
35,2,5,25195.21
36,2,6,19469.77
37,2,7,15167.26
38,2,8,22676.35
39,2,9,24390.79
40,2,10,22087.65
41,2,11,21710.27
42,2,12,24262.4
43,2,13,19490.7
44,2,14,15784.39
45,2,15,22323.42
46,2,16,25727.11
47,2,17,25936.52
48,2,18,25950.2
49,2,19,25486.12
50,2,20,19322.63
51,2,21,16022.93
52,2,22,23924.88
53,2,23,26225.88
54,2,24,25995.25
55,2,25,27186.57
56,2,26,26863.48
57,2,27,19423.04
58,2,28,15888.01
59,3,1,12698.83
60,3,2,13598.01
61,3,3,13724.7
62,3,4,13174.56
63,3,5,13581.74
64,3,6,8545.1
65,3,7,7024.64
66,3,8,12584.65
67,3,9,13410.22
68,3,10,12092.63
69,3,11,13658.59
70,3,12,13250.29
71,3,13,9347.21
72,3,14,7185.64
73,3,15,7950.88
74,3,16,13511.51
75,3,17,13793.16
76,3,18,12465.37
77,3,19,13527.51
78,3,20,9685.76
79,3,21,8197.64
80,3,22,12923.69
81,3,23,13939.43
82,3,24,13996.72
83,3,25,14289.72
84,3,26,13958.75
85,3,27,9551.43
86,3,28,8423.4
87,3,29,12428.03
88,3,30,12959.18
89,3,31,12959.98
90,4,1,9349.82
91,4,2,7805.62
92,4,3,7895.67
93,4,4,7497.26
94,4,5,12412.93
95,4,6,12787.48
96,4,7,14478.32
97,4,8,13777.9
98,4,9,12915.19
99,4,10,9657.02
100,4,11,8370.54
101,4,12,12786.03
102,4,13,13061.45
103,4,14,14814.01
104,4,15,14775.77
105,4,16,14130.32
106,4,17,10232.72
107,4,18,8681.34
108,4,19,13696.21
109,4,20,14931.92
110,4,21,14449.74
111,4,22,14962.3
112,4,23,14706.38
113,4,24,9378.21
114,4,25,8286.58
115,4,26,13670.64
116,4,27,13847.54
117,4,28,13696.76
118,4,29,14372.03
119,4,30,14358.66
120,5,1,9677.19
121,5,2,8495.02
122,5,3,14625.59
123,5,4,15006.2
124,5,5,11403.14
125,5,6,15626.24
126,5,7,15475.22
127,5,8,10165.7
128,5,9,8067.63
129,5,10,12295.79
130,5,11,13870.72
131,5,12,12943.82
132,5,13,14904.75
133,5,14,14287.98
134,5,15,9482.64
135,5,16,8104.81
136,5,17,12923.64
137,5,18,13977.99
138,5,19,15475.59
139,5,20,15032.2
140,5,21,14935.44
141,5,22,9779.8
142,5,23,8908.63
143,5,24,13065.05
144,5,25,14156.08
145,5,26,15232.7
146,5,27,15962.15
147,5,28,14987.06
148,5,29,10007.34
149,5,30,8783.27
150,5,31,14813.02
151,6,1,32036.59
152,6,2,28230.46
153,6,3,26776.04
154,6,4,26769.87
155,6,5,20775.24
156,6,6,20508.21
157,6,7,31204.52
158,6,8,31826.46
159,6,9,28991.33
160,6,10,31850.61
161,6,11,29857.44
162,6,12,18436.74
163,6,13,17050.2
164,6,14,27995.01
165,6,15,33634.98
166,6,16,33809.31
167,6,17,32123.45
168,6,18,23313.86
169,6,19,18936.07
170,6,20,17311.13
171,6,21,27877.85
172,6,22,27553.17
173,6,23,32021.23
174,6,24,29160.69
175,6,25,27420.83
176,6,26,21466.64
177,6,27,11881.18
178,6,28,28595.55
179,6,29,27342.66
180,6,30,25916.69
181,7,1,28873.79
182,7,2,23172.27
183,7,3,19023.36
184,7,4,17628.19
185,7,5,24227.76
186,7,6,30420.97
187,7,7,30745.36
188,7,8,28980.38
189,7,9,30255.49
190,7,10,18271.56
191,7,11,18525.59
192,7,12,29663.61
193,7,13,25910.55
194,7,14,27419.0
195,7,15,27748.8
196,7,16,28941.31
197,7,17,19248.51
198,7,18,17132.13
199,7,19,25787.44
200,7,20,26433.09
201,7,21,26733.63
202,7,22,25767.7
203,7,23,27846.97
204,7,24,17896.67
205,7,25,16428.44
206,7,26,23223.85
207,7,27,28292.85
208,7,28,25992.38
209,7,29,28259.9
210,7,30,23122.14
211,7,31,16175.52
212,8,1,11.66
213,8,2,14.55
214,8,3,5.63
215,8,4,3.6
216,8,5,7.529999999999999
217,8,6,10.379999999999999
218,8,7,5.01
219,8,8,18.45
220,8,9,1.05
221,8,10,5.65
222,8,11,16.71
223,8,12,4.04
224,8,13,2.62
225,8,14,2.61
226,8,15,4.779999999999999
227,8,16,4.61
228,8,17,9.55
229,8,18,0.0
230,8,19,6.11
231,8,20,3.79
232,8,21,1.45
233,8,22,1.09
234,8,23,4.1
235,8,24,4.11
236,8,25,9.99
237,8,26,7.609999999999999
238,8,27,4.0
239,8,28,0.0
240,8,29,2.08
241,8,30,9.25
242,8,31,25.759999999999998
243,9,1,11752.47
244,9,2,10476.92
245,9,3,11135.58
246,9,4,9219.91
247,9,5,7431.16
248,9,6,10804.91
249,9,7,9025.23
250,9,8,13534.27
251,9,9,14447.58
252,9,10,14192.24
253,9,11,9118.86
254,9,12,7795.73
255,9,13,13696.08
256,9,14,15048.85
257,9,15,13328.26
258,9,16,5787.64
259,9,17,10098.79
260,9,18,8200.39
261,9,19,7213.09
262,9,20,13652.25
263,9,21,15201.07
264,9,22,15179.16
265,9,23,14779.08
266,9,24,14840.5
267,9,25,9018.57
268,9,26,8577.71
269,9,27,13705.05
270,9,28,15734.97
271,9,29,15659.37
272,9,30,14283.28
273,10,1,13400.93
274,10,2,10207.96
275,10,3,7856.28
276,10,4,14629.63
277,10,5,13328.24
278,10,6,14080.2
279,10,7,15096.33
280,10,8,15261.57
281,10,9,9929.66
282,10,10,9332.89
283,10,11,15446.79
284,10,12,16344.43
285,10,13,16865.72
286,10,14,16069.17
287,10,15,16209.62
288,10,16,10102.34
289,10,17,8557.77
290,10,18,15631.07
291,10,19,17014.63
292,10,20,17173.85
293,10,21,15878.13
294,10,22,15507.27
295,10,23,10136.99
296,10,24,8788.46
297,10,25,16297.53
298,10,26,17140.3
299,10,27,17498.54
300,10,28,15808.52
301,10,29,16788.67
302,10,30,10284.75
303,10,31,10046.58
304,11,1,14102.1
305,11,2,12126.23
306,11,3,18231.44
307,11,4,17329.06
308,11,5,17259.43
309,11,6,10290.38
310,11,7,9364.62
311,11,8,16462.58
312,11,9,18293.41
313,11,10,18250.12
314,11,11,17907.62
315,11,12,17853.78
316,11,13,9933.34
317,11,14,9108.09
318,11,15,9172.89
319,11,16,17410.65
320,11,17,17842.09
321,11,18,17616.76
322,11,19,17134.91
323,11,20,11073.03
324,11,21,9933.45
325,11,22,16760.05
326,11,23,17970.41
327,11,24,18116.84
328,11,25,17904.25
329,11,26,17738.34
330,11,27,10469.69
331,11,28,9898.83
332,11,29,17267.8
333,11,30,18088.8
334,12,1,39172.75
335,12,2,38112.21
336,12,3,36419.94
337,12,4,21893.73
338,12,5,20660.98
339,12,6,36192.59
340,12,7,38940.62
341,12,8,40162.65
342,12,9,38177.38
343,12,10,36992.68
344,12,11,22859.21
345,12,12,20734.35
346,12,13,35550.59
347,12,14,38207.75
348,12,15,38710.3
349,12,16,38817.73
350,12,17,36971.52
351,12,18,21832.88
352,12,19,19534.42
353,12,20,31278.29
354,12,21,32726.99
355,12,22,32002.75
356,12,23,28767.84
357,12,24,17302.79
358,12,25,8054.24
359,12,26,14281.0
360,12,27,24026.7
361,12,28,25804.49
362,12,29,25044.66
363,12,30,23512.94
364,12,31,17201.43
