,Mes,Dia,location_dist
289,10,17,19170.39
290,10,18,29260.18
291,10,19,13864.06
292,10,20,10947.59
293,10,21,29523.73
294,10,22,31475.16
295,10,23,31796.14
296,10,24,26904.74
297,10,25,27721.34
298,10,26,11458.11
299,10,27,8505.72
300,10,28,29108.5
301,10,29,32560.02
302,10,30,26082.49
303,10,31,28914.48
304,11,1,23874.09
305,11,2,9348.52
306,11,3,9011.07
307,11,4,30502.93
308,11,5,28210.49
309,11,6,32414.5
310,11,7,32036.99
311,11,8,30984.45
312,11,9,16359.04
313,11,10,10500.37
314,11,11,30013.54
315,11,12,32473.69
316,11,13,31682.21
317,11,14,30500.39
318,11,15,29364.04
319,11,16,12028.24
320,11,17,8506.97
321,11,18,9906.51
322,11,19,29768.76
323,11,20,32226.47
324,11,21,30891.67
325,11,22,30072.11
326,11,23,11459.08
327,11,24,10442.93
328,11,25,31012.43
329,11,26,32443.16
330,11,27,33072.87
331,11,28,31630.71
332,11,29,30543.01
333,11,30,13122.36
334,12,1,10756.6
335,12,2,29745.53
336,12,3,31363.57
337,12,4,31309.34
338,12,5,30934.17
339,12,6,29362.27
340,12,7,12527.9
341,12,8,9041.75
342,12,9,29973.45
343,12,10,31657.24
344,12,11,29759.82
345,12,12,25561.97
346,12,13,27676.54
347,12,14,12652.12
348,12,15,9407.2
349,12,16,27011.37
350,12,17,27386.49
351,12,18,25153.64
352,12,19,24815.67
353,12,20,23214.0
354,12,21,10656.73
355,12,22,6344.07
356,12,23,17822.38
357,12,24,10304.7
358,12,25,3238.63
359,12,26,15243.26
360,12,27,15161.84
361,12,28,7651.01
362,12,29,6591.46
363,12,30,14795.41
364,12,31,9794.57
