,anio,Mes,dia,viajes
0,2021,Jan,1,2783
1,2021,Jan,2,4611
2,2021,Jan,3,4502
3,2021,Jan,4,7274
4,2021,Jan,5,7964
5,2021,Jan,6,7401
6,2021,Jan,7,7728
7,2021,Jan,8,7978
8,2021,Jan,9,6371
9,2021,Jan,10,5351
10,2021,Jan,11,8192
11,2021,Jan,12,8807
12,2021,Jan,13,8904
13,2021,Jan,14,9171
14,2021,Jan,15,9583
15,2021,Jan,16,6693
16,2021,Jan,17,5214
17,2021,Jan,18,9892
18,2021,Jan,19,10084
19,2021,Jan,20,10209
20,2021,Jan,21,10406
21,2021,Jan,22,10726
22,2021,Jan,23,8379
23,2021,Jan,24,6848
24,2021,Jan,25,10268
25,2021,Jan,26,11043
26,2021,Jan,27,10896
27,2021,Jan,28,10965
28,2021,Jan,29,11583
29,2021,Jan,30,8949
30,2021,Jan,31,7154
31,2021,Feb,1,7523
32,2021,Feb,2,10889
33,2021,Feb,3,11338
34,2021,Feb,4,11186
35,2021,Feb,5,11686
36,2021,Feb,6,9128
37,2021,Feb,7,7190
38,2021,Feb,8,10542
39,2021,Feb,9,11424
40,2021,Feb,10,10243
41,2021,Feb,11,10093
42,2021,Feb,12,11433
43,2021,Feb,13,9050
44,2021,Feb,14,7373
45,2021,Feb,15,10458
46,2021,Feb,16,11868
47,2021,Feb,17,11892
48,2021,Feb,18,11850
49,2021,Feb,19,11735
50,2021,Feb,20,9022
51,2021,Feb,21,7491
52,2021,Feb,22,11058
53,2021,Feb,23,12046
54,2021,Feb,24,12096
55,2021,Feb,25,12369
56,2021,Feb,26,12417
57,2021,Feb,27,9057
58,2021,Feb,28,7498
59,2021,Feb,29,4
60,2021,Feb,30,6
61,2021,Feb,31,8
62,2021,Mar,1,12013
63,2021,Mar,2,12912
64,2021,Mar,3,12769
65,2021,Mar,4,12485
66,2021,Mar,5,12947
67,2021,Mar,6,8487
68,2021,Mar,7,7150
69,2021,Mar,8,11919
70,2021,Mar,9,12783
71,2021,Mar,10,11647
72,2021,Mar,11,12900
73,2021,Mar,12,12658
74,2021,Mar,13,8852
75,2021,Mar,14,7829
76,2021,Mar,15,7884
77,2021,Mar,16,12837
78,2021,Mar,17,12792
79,2021,Mar,18,11858
80,2021,Mar,19,12953
81,2021,Mar,20,9040
82,2021,Mar,21,8590
83,2021,Mar,22,12179
84,2021,Mar,23,13276
85,2021,Mar,24,13158
86,2021,Mar,25,13521
87,2021,Mar,26,13362
88,2021,Mar,27,9230
89,2021,Mar,28,8359
