,anio,Mes,dia,viajes
0,2020,Jan,1,3872
1,2020,Jan,2,16376
2,2020,Jan,3,17757
3,2020,Jan,4,9420
4,2020,Jan,5,8812
5,2020,Jan,6,22343
6,2020,Jan,7,25155
7,2020,Jan,8,26381
8,2020,Jan,9,27320
9,2020,Jan,10,27183
10,2020,Jan,11,11839
11,2020,Jan,12,10683
12,2020,Jan,13,28526
13,2020,Jan,14,30641
14,2020,Jan,15,30114
15,2020,Jan,16,25638
16,2020,Jan,17,28200
17,2020,Jan,18,12228
18,2020,Jan,19,7969
19,2020,Jan,20,25023
20,2020,Jan,21,28153
21,2020,Jan,22,28722
22,2020,Jan,23,28812
23,2020,Jan,24,27945
24,2020,Jan,25,12587
25,2020,Jan,26,10682
26,2020,Jan,27,28761
27,2020,Jan,28,29951
28,2020,Jan,29,29694
29,2020,Jan,30,28933
30,2020,Jan,31,27210
31,2020,Feb,1,11555
32,2020,Feb,2,8852
33,2020,Feb,3,9172
34,2020,Feb,4,28892
35,2020,Feb,5,29838
36,2020,Feb,6,30292
37,2020,Feb,7,29260
38,2020,Feb,8,13353
39,2020,Feb,9,11567
40,2020,Feb,10,29289
41,2020,Feb,11,30702
42,2020,Feb,12,31087
43,2020,Feb,13,30313
44,2020,Feb,14,25571
45,2020,Feb,15,12424
46,2020,Feb,16,10980
47,2020,Feb,17,28940
48,2020,Feb,18,31232
49,2020,Feb,19,31244
50,2020,Feb,20,31146
51,2020,Feb,21,29661
52,2020,Feb,22,14674
53,2020,Feb,23,11329
54,2020,Feb,24,29573
55,2020,Feb,25,31388
56,2020,Feb,26,31189
57,2020,Feb,27,30114
58,2020,Feb,28,29757
59,2020,Feb,29,12929
60,2020,Mar,1,11222
61,2020,Mar,2,29472
62,2020,Mar,3,31711
63,2020,Mar,4,31479
64,2020,Mar,5,31289
65,2020,Mar,6,29034
66,2020,Mar,7,12800
67,2020,Mar,8,11911
68,2020,Mar,9,22999
69,2020,Mar,10,31144
70,2020,Mar,11,31609
71,2020,Mar,12,30985
72,2020,Mar,13,28082
73,2020,Mar,14,11216
74,2020,Mar,15,8491
75,2020,Mar,16,8360
76,2020,Mar,17,22169
77,2020,Mar,18,19509
78,2020,Mar,19,16830
79,2020,Mar,20,16231
80,2020,Mar,21,6527
81,2020,Mar,22,5815
82,2020,Mar,23,11798
83,2020,Mar,24,11407
84,2020,Mar,25,10655
85,2020,Mar,26,9655
86,2020,Mar,27,9570
87,2020,Mar,28,5947
88,2020,Mar,29,4151
89,2020,Mar,30,8108
90,2020,Mar,31,7806
91,2020,Apr,1,7145
92,2020,Apr,2,6360
93,2020,Apr,3,6326
94,2020,Apr,4,4267
95,2020,Apr,5,3543
96,2020,Apr,6,5661
97,2020,Apr,7,5831
98,2020,Apr,8,5473
99,2020,Apr,9,3785
100,2020,Apr,10,3876
101,2020,Apr,11,3702
102,2020,Apr,12,3293
103,2020,Apr,13,5712
104,2020,Apr,14,5680
105,2020,Apr,15,5987
106,2020,Apr,16,5519
107,2020,Apr,17,5604
108,2020,Apr,18,3833
109,2020,Apr,19,3531
110,2020,Apr,20,5441
111,2020,Apr,21,4985
112,2020,Apr,22,5276
113,2020,Apr,23,5136
114,2020,Apr,24,5011
115,2020,Apr,25,3836
116,2020,Apr,26,3603
117,2020,Apr,27,5441
118,2020,Apr,28,5348
119,2020,Apr,29,5158
120,2020,Apr,30,4765
121,2020,May,1,3711
122,2020,May,2,4205
123,2020,May,3,3505
124,2020,May,4,5359
125,2020,May,5,4611
126,2020,May,6,4563
127,2020,May,7,4594
128,2020,May,8,5064
129,2020,May,9,3668
130,2020,May,10,3151
131,2020,May,11,4722
132,2020,May,12,5239
133,2020,May,13,5319
134,2020,May,14,5324
135,2020,May,15,5735
136,2020,May,16,4306
137,2020,May,17,3748
138,2020,May,18,5181
139,2020,May,19,5583
140,2020,May,20,5036
141,2020,May,21,5210
142,2020,May,22,5384
143,2020,May,23,4435
144,2020,May,24,3950
145,2020,May,25,5807
146,2020,May,26,5848
147,2020,May,27,5636
148,2020,May,28,5358
149,2020,May,29,6264
150,2020,May,30,4715
151,2020,May,31,3264
152,2020,Jun,1,6151
153,2020,Jun,2,6408
154,2020,Jun,3,6275
155,2020,Jun,4,6274
156,2020,Jun,5,6720
157,2020,Jun,6,5165
158,2020,Jun,7,3963
159,2020,Jun,8,5480
160,2020,Jun,9,6088
161,2020,Jun,10,6553
162,2020,Jun,11,6234
163,2020,Jun,12,6752
164,2020,Jun,13,5410
165,2020,Jun,14,4584
166,2020,Jun,15,6695
167,2020,Jun,16,6964
168,2020,Jun,17,6861
169,2020,Jun,18,7025
