,anio,Mes,viaje,name_retiro,name_arribo,viajes_iniciados
43297,2021,1,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,662
107890,2021,2,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,694
177996,2021,3,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,802
249549,2021,4,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,682
322943,2021,5,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,714
396162,2021,6,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,690
468722,2021,7,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,465
540608,2021,8,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,549
613824,2021,9,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,627
690983,2021,10,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,664
771058,2021,11,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,649
840353,2021,12,33-33,Londres - Florencia,Londres - Florencia,655
