,anio,Mes,viaje,name_retiro,name_arribo,viajes_iniciados
55251,2020,1,33-33,Londres - Florencia,Londres - Florencia,446
149999,2020,2,33-33,Londres - Florencia,Londres - Florencia,375
240964,2020,3,33-33,Londres - Florencia,Londres - Florencia,286
301334,2020,4,33-33,Londres - Florencia,Londres - Florencia,197
324001,2020,5,139-139,Mérida-Zacatecas,Mérida-Zacatecas,209
389887,2020,6,33-33,Londres - Florencia,Londres - Florencia,172
417427,2020,7,139-139,Mérida-Zacatecas,Mérida-Zacatecas,247
512574,2020,8,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,324
569946,2020,9,34-34,Liverpool - Genova,Liverpool - Genova,298
636826,2020,10,34-34,Liverpool - Genova,Liverpool - Genova,421
703072,2020,11,34-34,Liverpool - Genova,Liverpool - Genova,391
772014,2020,12,391-391,Patricio Sanz-Felix Cuevas,Patricio Sanz-Felix Cuevas,412
